group,scenario,backend,rep,op,counter,value
blob,blob/nix-closure,amber-go-s3,0,push_initial,s3_bytes_down,3854
blob,blob/nix-closure,amber-go-s3,0,push_initial,s3_bytes_up,3446703
blob,blob/nix-closure,amber-go-s3,0,push_initial,s3_connections,10
blob,blob/nix-closure,amber-go-s3,0,push_initial,s3_request_body_bytes,3435003
blob,blob/nix-closure,amber-go-s3,0,push_initial,s3_requests_GET,2
blob,blob/nix-closure,amber-go-s3,0,push_initial,s3_requests_PUT,15
blob,blob/nix-closure,amber-go-s3,0,push_initial,s3_requests_total,17
blob,blob/nix-closure,amber-go-s3,0,push_initial,s3_response_body_bytes,614
blob,blob/nix-closure,amber-go-s3,0,push_initial,s3_responses_2xx,16
blob,blob/nix-closure,amber-go-s3,0,push_initial,s3_responses_4xx,1
blob,blob/nix-closure,amber-go-s3,0,push_initial,stored_bytes,3427977
blob,blob/nix-closure,amber-go-s3,0,push_initial,stored_objects,15
blob,blob/nix-closure,amber-go-s3,0,push_noop,s3_bytes_down,5287
blob,blob/nix-closure,amber-go-s3,0,push_noop,s3_bytes_up,1192
blob,blob/nix-closure,amber-go-s3,0,push_noop,s3_connections,1
blob,blob/nix-closure,amber-go-s3,0,push_noop,s3_request_body_bytes,0
blob,blob/nix-closure,amber-go-s3,0,push_noop,s3_requests_GET,2
blob,blob/nix-closure,amber-go-s3,0,push_noop,s3_requests_total,2
blob,blob/nix-closure,amber-go-s3,0,push_noop,s3_response_body_bytes,5061
blob,blob/nix-closure,amber-go-s3,0,push_noop,s3_responses_2xx,1
blob,blob/nix-closure,amber-go-s3,0,push_noop,s3_responses_4xx,1
blob,blob/nix-closure,amber-go-s3,0,push_noop,stored_bytes,3427977
blob,blob/nix-closure,amber-go-s3,0,push_noop,stored_objects,15
blob,blob/nix-closure,amber-go-s3,0,pull_fresh,delivered_logical_bytes,5768158
blob,blob/nix-closure,amber-go-s3,0,pull_fresh,delivered_references,8
blob,blob/nix-closure,amber-go-s3,0,pull_fresh,s3_bytes_down,3438389
blob,blob/nix-closure,amber-go-s3,0,pull_fresh,s3_bytes_up,12365
blob,blob/nix-closure,amber-go-s3,0,pull_fresh,s3_connections,11
blob,blob/nix-closure,amber-go-s3,0,pull_fresh,s3_request_body_bytes,0
blob,blob/nix-closure,amber-go-s3,0,pull_fresh,s3_requests_GET,19
blob,blob/nix-closure,amber-go-s3,0,pull_fresh,s3_requests_HEAD,1
blob,blob/nix-closure,amber-go-s3,0,pull_fresh,s3_requests_total,20
blob,blob/nix-closure,amber-go-s3,0,pull_fresh,s3_response_body_bytes,3434440
blob,blob/nix-closure,amber-go-s3,0,pull_fresh,s3_responses_2xx,18
blob,blob/nix-closure,amber-go-s3,0,pull_fresh,s3_responses_4xx,2
blob,blob/nix-closure,amber-go-s3,0,pull_fresh,stored_bytes,3427977
blob,blob/nix-closure,amber-go-s3,0,pull_fresh,stored_objects,15
blob,blob/nix-closure,amber-go-s3,0,push_incremental,s3_bytes_down,14740
blob,blob/nix-closure,amber-go-s3,0,push_incremental,s3_bytes_up,3985909
blob,blob/nix-closure,amber-go-s3,0,push_incremental,s3_connections,12
blob,blob/nix-closure,amber-go-s3,0,push_incremental,s3_request_body_bytes,3966880
blob,blob/nix-closure,amber-go-s3,0,push_incremental,s3_requests_GET,2
blob,blob/nix-closure,amber-go-s3,0,push_incremental,s3_requests_POST,12
blob,blob/nix-closure,amber-go-s3,0,push_incremental,s3_requests_PUT,15
blob,blob/nix-closure,amber-go-s3,0,push_incremental,s3_requests_total,29
blob,blob/nix-closure,amber-go-s3,0,push_incremental,s3_response_body_bytes,10203
blob,blob/nix-closure,amber-go-s3,0,push_incremental,s3_responses_2xx,28
blob,blob/nix-closure,amber-go-s3,0,push_incremental,s3_responses_4xx,1
blob,blob/nix-closure,amber-go-s3,0,push_incremental,stored_bytes,3957240
blob,blob/nix-closure,amber-go-s3,0,push_incremental,stored_objects,16
blob,blob/nix-closure,amber-go-s3,0,pull_incremental,delivered_logical_bytes,6030405
blob,blob/nix-closure,amber-go-s3,0,pull_incremental,delivered_references,9
