group,scenario,backend,rep,op,counter,value
blob,blob/nix-closure,amber-rust-s3,0,push_initial,s3_bytes_down,4120
blob,blob/nix-closure,amber-rust-s3,0,push_initial,s3_bytes_up,113072115
blob,blob/nix-closure,amber-rust-s3,0,push_initial,s3_connections,8
blob,blob/nix-closure,amber-rust-s3,0,push_initial,s3_request_body_bytes,113061193
blob,blob/nix-closure,amber-rust-s3,0,push_initial,s3_requests_GET,2
blob,blob/nix-closure,amber-rust-s3,0,push_initial,s3_requests_POST,4
blob,blob/nix-closure,amber-rust-s3,0,push_initial,s3_requests_PUT,9
blob,blob/nix-closure,amber-rust-s3,0,push_initial,s3_requests_total,15
blob,blob/nix-closure,amber-rust-s3,0,push_initial,s3_response_body_bytes,2450
blob,blob/nix-closure,amber-rust-s3,0,push_initial,s3_responses_2xx,14
blob,blob/nix-closure,amber-rust-s3,0,push_initial,s3_responses_4xx,1
blob,blob/nix-closure,amber-rust-s3,0,push_initial,stored_bytes,112904392
blob,blob/nix-closure,amber-rust-s3,0,push_initial,stored_objects,3
blob,blob/nix-closure,amber-rust-s3,0,push_noop,s3_bytes_down,1787
blob,blob/nix-closure,amber-rust-s3,0,push_noop,s3_bytes_up,1197
blob,blob/nix-closure,amber-rust-s3,0,push_noop,s3_connections,1
blob,blob/nix-closure,amber-rust-s3,0,push_noop,s3_request_body_bytes,0
blob,blob/nix-closure,amber-rust-s3,0,push_noop,s3_requests_GET,2
blob,blob/nix-closure,amber-rust-s3,0,push_noop,s3_requests_total,2
blob,blob/nix-closure,amber-rust-s3,0,push_noop,s3_response_body_bytes,1561
blob,blob/nix-closure,amber-rust-s3,0,push_noop,s3_responses_2xx,1
blob,blob/nix-closure,amber-rust-s3,0,push_noop,s3_responses_4xx,1
blob,blob/nix-closure,amber-rust-s3,0,push_noop,stored_bytes,112904392
blob,blob/nix-closure,amber-rust-s3,0,push_noop,stored_objects,3
blob,blob/nix-closure,amber-rust-s3,0,pull_fresh,delivered_logical_bytes,184550399
blob,blob/nix-closure,amber-rust-s3,0,pull_fresh,delivered_references,8
blob,blob/nix-closure,amber-rust-s3,0,pull_fresh,s3_bytes_down,112908575
blob,blob/nix-closure,amber-rust-s3,0,pull_fresh,s3_bytes_up,5154
blob,blob/nix-closure,amber-rust-s3,0,pull_fresh,s3_connections,3
blob,blob/nix-closure,amber-rust-s3,0,pull_fresh,s3_request_body_bytes,0
blob,blob/nix-closure,amber-rust-s3,0,pull_fresh,s3_requests_GET,7
blob,blob/nix-closure,amber-rust-s3,0,pull_fresh,s3_requests_HEAD,1
blob,blob/nix-closure,amber-rust-s3,0,pull_fresh,s3_requests_total,8
blob,blob/nix-closure,amber-rust-s3,0,pull_fresh,s3_response_body_bytes,112907319
blob,blob/nix-closure,amber-rust-s3,0,pull_fresh,s3_responses_2xx,6
blob,blob/nix-closure,amber-rust-s3,0,pull_fresh,s3_responses_4xx,2
