core,id,group,op,passed,comparable,digest,detail
go,fixture/corpus-random,fixture,fixture.corpus,True,True,0240000028740064bc6c50a3a126c612a4f3c66d76cf2408bcb28bd711323155,
go,fixture/corpus-text,fixture,fixture.corpus,True,True,0240000017478b38e3b45cbb851d8c5c38926eca3d80308aa8ce9430f55bc8f6,
go,fixture/payloads-tiny,fixture,fixture.payloads,True,True,02120000e959937ab00f44c4b45eaf48aa83ab79449cc24378822f53b256251c,
go,fixture/payloads-small,fixture,fixture.payloads,True,True,02100800aeb30c7afd3b1e91c06551c253a9bc0a510b1fd8c95101cfc7b74e52,
go,fixture/payloads-text,fixture,fixture.payloads,True,True,02100800cba058e8f936c2ed8560d604615deea14127a025bc455441c58fac00,
go,fixture/payloads-large,fixture,fixture.payloads,True,True,02100008ad539e575ebd7159c0018c2010d58a5c17b94f14910d4c13dcb38f2a,
go,fixture/payloads-rand,fixture,fixture.payloads,True,True,02100008c06ae6b34203f6cb9f51f7790cf0591fd23507aa03a54bdf0b352f4d,
go,fixture/keys,fixture,fixture.keys,True,True,011f40835102c1acd81c7d90350945e9ec59ac7309a0b3f1c57eed78d42f785c,
go,fixture/entries-large,fixture,fixture.entries,True,True,0129825a59b34452ecc097ac3af7a0fdc230c2873f04c852a49c80875a9ba441,
go,fixture/tree-v1,fixture,fixture.tree,True,True,01afe37f4b97ef42716f541f85683e47243c61b3fb9bfc658bb3f02750526c2e,
go,fixture/tree-v2,fixture,fixture.tree,True,True,01b398d91036200acc494a1c4fd62c5389c16e24ed592a17243233a27f31087e,
go,fixture/ignore-dir,fixture,fixture.tree,True,True,0103a4a1eb827e12da5a0aa080dffa1a30675d49e9c8184df79c50273cddb528,
go,fixture/wire-pack-bytes,fixture,fixture.pack,True,False,0213aaa10a66e954941003c2b13ae9c42a919fddb29e15a46dd4b0728ca3ae32,
go,fixture/wire-pack-contents,fixture,fixture.pack,True,True,02212c00f1605871d8580aa15b82f30426683c42f4b260d6a934bf71d7e9c104,
go,fixture/store-keys,fixture,fixture.store,True,True,01ea607dc8971f6a79eaaef5d4c390ea9137569ea499d3dfd28b1ec112059e56,
go,fixture/tar-archive,fixture,fixture.tar,True,True,0277d0009fc62310443fc067a698690f467979431226c3497e6ed3a57ae534a9,
go,fixture/wide-root,fixture,fixture.mem,True,True,3248d5ef6cf16d5f818e4dc3975cc148bd93f8d54e876f257441b4a8bb66e6b5,
go,fixture/deep-root,fixture,fixture.mem,True,True,2119118057f5a2af5e7b76b3ef720e5e0d1a4f4fa0e786e0a6886c7dac24abfb,
go,fixture/file-root,fixture,fixture.mem,True,True,124000009474419898c5797274e1f2330d06b63af3a7780edcd0d14f73a20c61,
go,fixture/gc-live-root,fixture,fixture.gc,True,True,226e2f25e8fe46ca7522f3770e85918b062767367a6b50758a89330b78777fa7,
go,key/new-small,key,key.new,True,True,012800a362ee118146d209f91317488e556c6992b5ffaa95313018a5460f3577,
go,key/new-from-hash,key,key.new_from_hash,True,True,00c8aad7ee4a343e6cc707784cb40155dd498bba44e9b91f108f2a7c43f1e3a3,
go,key/parse-roundtrip,key,key.parse,True,True,011000fa010be742b54157aabd0e89c2fbb478aa09bbe87d848997a7c53ff7f8,
go,key/accessors,key,key.accessors,True,True,Blob/4096/2,
go,key/parse-rejects,key,key.parse,True,True,0064b2e3179d37e41e665d8572218068c7a6cebda0413aa7939d2f5b0dbd01f7,
go,key/type-names,key,key.type_string,True,True,004a43e1f8ba69cdfea2b66a26aece05cb87e8cb509143289bb806b3e5ed5563,
go,cbor/roundtrip-xattrs-3,cbor,cbor.decode_xattrs,True,True,004730182534194c1d1215273f91f2e1f22836792b72db7d168d196b9e478a9f,
go,cbor/roundtrip-xattrs-64,cbor,cbor.decode_xattrs,True,True,0111424f62587c50a8e9d210927f4e1bae0b64b0d076305fb134243f217c7623,
go,cbor/canonical-stable,cbor,cbor.encode_xattrs,True,True,0111424f62587c50a8e9d210927f4e1bae0b64b0d076305fb134243f217c7623,
go,cbor/rejects-trailing,cbor,cbor.decode_xattrs,True,True,rejected,
go,chunkers/split-compressible,chunkers,chunkers.split_bytes,True,True,02400020c3976a4f94de87896bbdf57a425ef9b8c863a59e611c77fe0bbab499,
go,chunkers/split-bounds-compressible,chunkers,chunkers.split_bytes,True,True,n=4,
go,chunkers/split-random,chunkers,chunkers.split_bytes,True,True,024001b08f6cc6d6d3b0df16435bc37b40971ed8636535d05d0037273538f157,
go,chunkers/split-bounds-random,chunkers,chunkers.split_bytes,True,True,n=54,
go,chunkers/split-empty,chunkers,chunkers.split_bytes,True,True,0,
go,chunkers/split-propagates-error,chunkers,chunkers.split_bytes,True,True,propagated,
go,chunkers/item-bounds,chunkers,chunkers.new_item_chunker,True,True,32/512,
go,chunkers/item-boundaries,chunkers,chunkers.item_chunker,True,True,0015603584320be8433d0a95572a29e94749145c99d91f6a9f66e78027cde561,
go,fstree/encode-dir-leaf-8,fstree,fstree.encode_dir_leaf,True,True,01025112355ffc73cdad2c7606274d23aeab9aa8ec98960b940d8c80b2d3d765,
go,fstree/encode-dir-leaf-128,fstree,fstree.encode_dir_leaf,True,True,0129825a59b34452ecc097ac3af7a0fdc230c2873f04c852a49c80875a9ba441,
go,fstree/encode-dir-node-8,fstree,fstree.encode_dir_node,True,True,01019187add02f7f0e8260ea03fabc49e9421dcf6664ae83f39d479c000e63b2,
go,fstree/encode-dir-node-128,fstree,fstree.encode_dir_node,True,True,01190242bd2c1d1cd9f0528168085acabd958c710324bff328a0190d072e00f8,
go,fstree/encode-file-node-8,fstree,fstree.encode_file_node,True,True,0101118de6e0374aca1717b58c8d8a6501b6a6d5c37deaa6d40b7dee7aad2860,
go,fstree/encode-file-node-1024,fstree,fstree.encode_file_node,True,True,018803c13d5d28f12088c746c16cb7415060af2ac826d1c44f92ec4b5aa723c5,
go,fstree/encode-xattr-set-64,fstree,fstree.encode_xattr_set,True,True,0111424f62587c50a8e9d210927f4e1bae0b64b0d076305fb134243f217c7623,
go,fstree/encode-blob,fstree,fstree.encode_blob,True,True,011000fa010be742b54157aabd0e89c2fbb478aa09bbe87d848997a7c53ff7f8,
go,fstree/decode-dir-leaf,fstree,fstree.decode_dir_leaf,True,True,0129825a59b34452ecc097ac3af7a0fdc230c2873f04c852a49c80875a9ba441,
go,fstree/decode-dir-node,fstree,fstree.decode_dir_node,True,True,01190242bd2c1d1cd9f0528168085acabd958c710324bff328a0190d072e00f8,
go,fstree/decode-file-node,fstree,fstree.decode_file_node,True,True,01a000fccaafe452c1359fe833c46ba53b23be11af1606d4dab962d43d961537,
go,fstree/decode-rejects-truncated,fstree,fstree.decode_dir_leaf,True,True,rejected,
go,fstree/child-keys-dir-leaf,fstree,fstree.child_keys,True,True,01140019daa10b7b810132483c70f0ddfb0f6af99dee0273e7d9580caf24f9ec,
go,fstree/child-keys-blob-is-leaf,fstree,fstree.child_keys,True,True,0,
go,fstree/dir-builder-root,fstree,fstree.dir_builder,True,True,3248d5ef6cf16d5f818e4dc3975cc148bd93f8d54e876f257441b4a8bb66e6b5,
go,fstree/file-index-root,fstree,fstree.index_builder_file,True,True,124000009474419898c5797274e1f2330d06b63af3a7780edcd0d14f73a20c61,
go,fstree/lookup-hit,fstree,fstree.lookup_entry,True,True,000eb946dfa3a417f87d98113e22bd49a86d5a4dba2192f00a95c7e52ae868ac,
go,fstree/lookup-miss,fstree,fstree.lookup_entry,True,True,ErrNotFound,
go,fstree/collect-entries,fstree,fstree.collect_entries,True,True,020d6d804f34935cdb095129efc225efffcb3c37348a8203699e842a3d4a4cd2,
go,fstree/list-paging,fstree,fstree.list_entries,True,True,020d6d804f34935cdb095129efc225efffcb3c37348a8203699e842a3d4a4cd2,
go,fstree/resolve-path,fstree,fstree.resolve_path,True,True,21077126cf561c34deb0b8b364058f7ec26c0e1392e8c339808d388bc9b38910,
go,fstree/resolve-path-missing,fstree,fstree.resolve_path,True,True,ErrNotFound,
go,fstree/resolve-path-rejects-dotdot,fstree,fstree.resolve_path,True,True,rejected,
go,fstree/resolve-entry-root-is-nil,fstree,fstree.resolve_entry,True,True,nil,
go,fstree/write-content,fstree,fstree.write_content,True,True,0240000017478b38e3b45cbb851d8c5c38926eca3d80308aa8ce9430f55bc8f6,
go,fstree/reachable-root-first,fstree,fstree.reachable_keys,True,True,n=40257,
go,fstree/reachable-distinct,fstree,fstree.reachable_keys,True,True,n=40257,
go,fstree/check-complete,fstree,fstree.check_complete,True,True,n=40257,
go,fstree/check-complete-missing,fstree,fstree.check_complete,True,True,MissingObjectError,
go,amberignore/root-patterns,amberignore,amberignore.ignored,True,True,009594a89bfb81f1ba6f39b04dde1f24e77a27ff8cbd395e9ab7a92429d34ae3,
go,amberignore/descend-composes,amberignore,amberignore.descend,True,True,004d23b05ebef09affbd511362763a66ad6757d8d0f1d67e01b47ac13fb592e2,
go,amberignore/nil-matcher-ignores-nothing,amberignore,amberignore.ignored,True,True,false,
go,ingest/scan-filtered,ingest,ingest.scan,True,True,335/7196448,
go,ingest/scan-unfiltered,ingest,ingest.scan,True,True,355/7229312,
go,ingest/scan-v2-included,ingest,ingest.scan,True,True,343/7228128,
go,ingest/scan-jobs-invariant,ingest,ingest.scan,True,True,335/7196448,
go,ingest/objects-root,ingest,ingest.objects,True,True,226e2f25e8fe46ca7522f3770e85918b062767367a6b50758a89330b78777fa7,
go,ingest/objects-jobs-invariant,ingest,ingest.objects,True,True,226e2f25e8fe46ca7522f3770e85918b062767367a6b50758a89330b78777fa7,
go,ingest/objects-complete,ingest,ingest.objects,True,True,n=398,
go,ingest/restored-tree-matches-source,ingest,ingest.objects,True,True,01a62a9792d1525d22e086ccff04739bf4fc343decf8e3ed92d6568a5d019145,
go,ingest/included-source-manifest,ingest,ingest.objects,True,True,01a62a9792d1525d22e086ccff04739bf4fc343decf8e3ed92d6568a5d019145,
go,ingest/objects-resolves-file,ingest,ingest.objects,True,True,ok,
go,ingest/objects-honours-ignore,ingest,ingest.objects,True,True,absent,
go,ingest/objects-honours-negation,ingest,ingest.objects,True,True,present,
go,ingest/dir-root,ingest,ingest.dir,True,True,226e2f25e8fe46ca7522f3770e85918b062767367a6b50758a89330b78777fa7,
go,ingest/dir-unchanged-repeat-stores-nothing,ingest,ingest.dir,True,True,stored=0 deduped=409,
go,ingest/dir-incremental,ingest,ingest.dir,True,True,stored=31,
go,ingest/dir-v2-root,ingest,ingest.dir,True,True,226eaab807971627c244141600ffda0edfd8086b703092568b7db603c1e03a48,
go,amberpack/wire-input-go,amberpack,amberpack.reader_all,True,True,3d3d567b71036e7aad778cf2250318de6e3b51c32657936df24e9f0027383a0c,
go,amberpack/wire-input-rust,amberpack,amberpack.reader_all,True,True,dcee6d4fecaba508a3bd4d89c5df1c3727c6ed8c54d25fdb2aac1d2b64f33013,
go,amberpack/record-roundtrip,amberpack,amberpack.encode_record,True,True,0109a80060b3255da23de2d0655c20ff4367656ae717bfcea5fd232450cc68a2,
go,amberpack/record-bytes,amberpack,amberpack.encode_record,True,False,0213ac98d20ab21a2a18e3b899a2e77324a72b2d31fd76bc4dd79701916f8f69,
go,amberpack/reads-go-pack,amberpack,amberpack.reader_all,True,True,02212c00f1605871d8580aa15b82f30426683c42f4b260d6a934bf71d7e9c104,
go,amberpack/reads-rust-pack,amberpack,amberpack.reader_all,True,True,02212c00f1605871d8580aa15b82f30426683c42f4b260d6a934bf71d7e9c104,
