core,op,workload,rep,name,value
go,amberignore.descend,8-subdirs,0,go.heap_alloc_bytes,601288
go,amberignore.descend,8-subdirs,0,go.mallocs,8963
go,amberignore.ignored,mixed-names,0,go.heap_alloc_bytes,16384
go,amberignore.ignored,mixed-names,0,go.mallocs,1024
go,amberignore.ignored,nil-matcher,0,go.heap_alloc_bytes,0
go,amberignore.ignored,nil-matcher,0,go.mallocs,0
go,amberignore.root,load-root,0,go.heap_alloc_bytes,119808
go,amberignore.root,load-root,0,go.mallocs,1664
go,amberpack.decode_payload,mixed-records/producer-go,0,go.heap_alloc_bytes,2354120
go,amberpack.decode_payload,mixed-records/producer-go,0,go.mallocs,115
go,amberpack.decode_payload,mixed-records/producer-rust,0,go.heap_alloc_bytes,2177768
go,amberpack.decode_payload,mixed-records/producer-rust,0,go.mallocs,75
go,amberpack.encode_record,1MiB-duplicate,0,go.heap_alloc_bytes,6848512
go,amberpack.encode_record,1MiB-duplicate,0,go.mallocs,6
go,amberpack.encode_record,1MiB-random,0,go.heap_alloc_bytes,3424256
go,amberpack.encode_record,1MiB-random,0,go.mallocs,3
go,amberpack.encode_record,1MiB-text,0,go.heap_alloc_bytes,1253376
go,amberpack.encode_record,1MiB-text,0,go.mallocs,2
go,amberpack.encode_record,4KiB-duplicate,0,go.heap_alloc_bytes,3670016
go,amberpack.encode_record,4KiB-duplicate,0,go.mallocs,768
go,amberpack.encode_record,4KiB-random,0,go.heap_alloc_bytes,3670016
go,amberpack.encode_record,4KiB-random,0,go.mallocs,768
go,amberpack.encode_record,4KiB-text,0,go.heap_alloc_bytes,1376256
go,amberpack.encode_record,4KiB-text,0,go.mallocs,512
go,amberpack.encode_record,empty,0,go.heap_alloc_bytes,38400
go,amberpack.encode_record,empty,0,go.mallocs,800
go,amberpack.encode_record,large-8MiB-duplicate,0,go.heap_alloc_bytes,54558720
go,amberpack.encode_record,large-8MiB-duplicate,0,go.mallocs,6
go,amberpack.encode_record,large-8MiB-random,0,go.heap_alloc_bytes,27279360
go,amberpack.encode_record,large-8MiB-random,0,go.mallocs,3
go,amberpack.encode_record,large-8MiB-text,0,go.heap_alloc_bytes,10002432
go,amberpack.encode_record,large-8MiB-text,0,go.mallocs,2
go,amberpack.encode_record,tiny-64B-duplicate,0,go.heap_alloc_bytes,4980736
go,amberpack.encode_record,tiny-64B-duplicate,0,go.mallocs,49152
go,amberpack.encode_record,tiny-64B-random,0,go.heap_alloc_bytes,4980736
go,amberpack.encode_record,tiny-64B-random,0,go.mallocs,49152
go,amberpack.encode_record,tiny-64B-text,0,go.heap_alloc_bytes,4945136
go,amberpack.encode_record,tiny-64B-text,0,go.mallocs,48874
go,amberpack.parse_record,corrupt-crc/producer-go,0,go.heap_alloc_bytes,26056
go,amberpack.parse_record,corrupt-crc/producer-go,0,go.mallocs,518
go,amberpack.parse_record,corrupt-crc/producer-rust,0,go.heap_alloc_bytes,26056
go,amberpack.parse_record,corrupt-crc/producer-rust,0,go.mallocs,518
go,amberpack.parse_record,mixed-records/producer-go,0,go.heap_alloc_bytes,0
go,amberpack.parse_record,mixed-records/producer-go,0,go.mallocs,0
go,amberpack.parse_record,mixed-records/producer-rust,0,go.heap_alloc_bytes,0
go,amberpack.parse_record,mixed-records/producer-rust,0,go.mallocs,0
go,amberpack.reader_all,mixed-objects/producer-go,0,go.heap_alloc_bytes,3607160
go,amberpack.reader_all,mixed-objects/producer-go,0,go.mallocs,203
go,amberpack.reader_all,mixed-objects/producer-rust,0,go.heap_alloc_bytes,3611544
go,amberpack.reader_all,mixed-objects/producer-rust,0,go.mallocs,208
go,amberpack.reader_all,truncated-stream/producer-go,0,go.heap_alloc_bytes,115536424
go,amberpack.reader_all,truncated-stream/producer-go,0,go.mallocs,6733
go,amberpack.reader_all,truncated-stream/producer-rust,0,go.heap_alloc_bytes,115540888
go,amberpack.reader_all,truncated-stream/producer-rust,0,go.mallocs,6739
go,amberpack.reader_records,mixed-objects/producer-go,0,go.heap_alloc_bytes,1433760
go,amberpack.reader_records,mixed-objects/producer-go,0,go.mallocs,132
go,amberpack.reader_records,mixed-objects/producer-rust,0,go.heap_alloc_bytes,1433760
go,amberpack.reader_records,mixed-objects/producer-rust,0,go.mallocs,132
go,amberpack.writer_add,mixed-objects,0,go.heap_alloc_bytes,5057552
go,amberpack.writer_add,mixed-objects,0,go.mallocs,162
go,amberpack.writer_add_record,pre-encoded-records/producer-go,0,go.heap_alloc_bytes,4112
go,amberpack.writer_add_record,pre-encoded-records/producer-go,0,go.mallocs,2
go,amberpack.writer_add_record,pre-encoded-records/producer-rust,0,go.heap_alloc_bytes,4112
go,amberpack.writer_add_record,pre-encoded-records/producer-rust,0,go.mallocs,2
go,cbor.decode_xattrs,xattrs-3,0,go.heap_alloc_bytes,36352
go,cbor.decode_xattrs,xattrs-3,0,go.mallocs,768
go,cbor.decode_xattrs,xattrs-64,0,go.heap_alloc_bytes,816640
go,cbor.decode_xattrs,xattrs-64,0,go.mallocs,12608
go,cbor.encode_xattrs,xattrs-3,0,go.heap_alloc_bytes,26096
go,cbor.encode_xattrs,xattrs-3,0,go.mallocs,1172
go,cbor.encode_xattrs,xattrs-64,0,go.heap_alloc_bytes,2829440
go,cbor.encode_xattrs,xattrs-64,0,go.mallocs,98408
go,chunkers.item_chunker,is_boundary/bits-7,0,go.heap_alloc_bytes,0
go,chunkers.item_chunker,is_boundary/bits-7,0,go.mallocs,0
go,chunkers.new_item_chunker,bits-4..12,0,go.heap_alloc_bytes,0
go,chunkers.new_item_chunker,bits-4..12,0,go.mallocs,0
go,chunkers.split_bytes,compressible/4-16-64KiB,0,go.heap_alloc_bytes,4325664
go,chunkers.split_bytes,compressible/4-16-64KiB,0,go.mallocs,70
go,chunkers.split_bytes,compressible/default-sizes,0,go.heap_alloc_bytes,6291744
go,chunkers.split_bytes,compressible/default-sizes,0,go.mallocs,10
go,chunkers.split_bytes,random/default-sizes,0,go.heap_alloc_bytes,6515616
go,chunkers.split_bytes,random/default-sizes,0,go.mallocs,60
go,chunkers.split_bytes,tiny-64KiB/default-sizes,0,go.heap_alloc_bytes,2162976
go,chunkers.split_bytes,tiny-64KiB/default-sizes,0,go.mallocs,7
go,fstree.check_complete,incomplete/jobs-1,0,go.heap_alloc_bytes,12496
go,fstree.check_complete,incomplete/jobs-1,0,go.mallocs,98
go,fstree.check_complete,widest/jobs-1,0,go.heap_alloc_bytes,36575656
go,fstree.check_complete,widest/jobs-1,0,go.mallocs,164019
go,fstree.check_complete,widest/jobs-N,0,go.heap_alloc_bytes,36579976
go,fstree.check_complete,widest/jobs-N,0,go.mallocs,164028
go,fstree.check_complete,width-16/jobs-1,0,go.heap_alloc_bytes,12456
go,fstree.check_complete,width-16/jobs-1,0,go.mallocs,96
go,fstree.check_complete,width-256/jobs-1,0,go.heap_alloc_bytes,207224
go,fstree.check_complete,width-256/jobs-1,0,go.mallocs,1103
go,fstree.check_complete,width-40000/jobs-1,0,go.heap_alloc_bytes,36575656
go,fstree.check_complete,width-40000/jobs-1,0,go.mallocs,164019
go,fstree.check_complete,width-4096/jobs-1,0,go.heap_alloc_bytes,3597088
go,fstree.check_complete,width-4096/jobs-1,0,go.mallocs,16846
go,fstree.child_keys,dir-leaf-128,0,go.heap_alloc_bytes,2571312
go,fstree.child_keys,dir-leaf-128,0,go.mallocs,18049
go,fstree.child_keys,dir-node-128,0,go.heap_alloc_bytes,1076224
go,fstree.child_keys,dir-node-128,0,go.mallocs,16640
go,fstree.child_keys,file-node-1024,0,go.heap_alloc_bytes,5942272
go,fstree.child_keys,file-node-1024,0,go.mallocs,65792
go,fstree.collect_entries,width-16,0,go.heap_alloc_bytes,9792
go,fstree.collect_entries,width-16,0,go.mallocs,40
go,fstree.collect_entries,width-256,0,go.heap_alloc_bytes,156384
go,fstree.collect_entries,width-256,0,go.mallocs,534
go,fstree.collect_entries,width-40000,0,go.heap_alloc_bytes,42204320
go,fstree.collect_entries,width-40000,0,go.mallocs,81308
go,fstree.collect_entries,width-4096,0,go.heap_alloc_bytes,3820704
go,fstree.collect_entries,width-4096,0,go.mallocs,8336
go,fstree.decode_dir_leaf,entries-1024,0,go.heap_alloc_bytes,14683136
go,fstree.decode_dir_leaf,entries-1024,0,go.mallocs,131264
go,fstree.decode_dir_leaf,entries-128,0,go.heap_alloc_bytes,1969152
go,fstree.decode_dir_leaf,entries-128,0,go.mallocs,16576
go,fstree.decode_dir_leaf,entries-128-partial-change,0,go.heap_alloc_bytes,2051072
go,fstree.decode_dir_leaf,entries-128-partial-change,0,go.mallocs,17600
go,fstree.decode_dir_leaf,entries-128-with-xattrs,0,go.heap_alloc_bytes,2051072
go,fstree.decode_dir_leaf,entries-128-with-xattrs,0,go.mallocs,17600
go,fstree.decode_dir_leaf,entries-8,0,go.heap_alloc_bytes,125952
go,fstree.decode_dir_leaf,entries-8,0,go.mallocs,1216
go,fstree.decode_dir_node,pairs-1024,0,go.heap_alloc_bytes,6294528
go,fstree.decode_dir_node,pairs-1024,0,go.mallocs,131264
go,fstree.decode_dir_node,pairs-128,0,go.heap_alloc_bytes,814080
go,fstree.decode_dir_node,pairs-128,0,go.mallocs,16576
go,fstree.decode_dir_node,pairs-8,0,go.heap_alloc_bytes,52224
go,fstree.decode_dir_node,pairs-8,0,go.mallocs,1216
go,fstree.decode_file_node,children-1024,0,go.heap_alloc_bytes,5942272
go,fstree.decode_file_node,children-1024,0,go.mallocs,65792
go,fstree.decode_file_node,children-128,0,go.heap_alloc_bytes,732160
go,fstree.decode_file_node,children-128,0,go.mallocs,8448
go,fstree.decode_file_node,children-65536,0,go.heap_alloc_bytes,369101824
go,fstree.decode_file_node,children-65536,0,go.mallocs,4194560
go,fstree.decode_file_node,children-8,0,go.heap_alloc_bytes,48128
go,fstree.decode_file_node,children-8,0,go.mallocs,768
go,fstree.dir_builder,entries-16,0,go.heap_alloc_bytes,16880
go,fstree.dir_builder,entries-16,0,go.mallocs,56
go,fstree.dir_builder,entries-256,0,go.heap_alloc_bytes,263704
go,fstree.dir_builder,entries-256,0,go.mallocs,567
go,fstree.dir_builder,entries-40000,0,go.heap_alloc_bytes,32885040
go,fstree.dir_builder,entries-40000,0,go.mallocs,83454
go,fstree.dir_builder,entries-4096,0,go.heap_alloc_bytes,3488128
go,fstree.dir_builder,entries-4096,0,go.mallocs,8540
