core,op,workload,items,logical_bytes,encoded_bytes
go,amberpack.encode_record,empty,800,0,36800
go,amberpack.encode_record,tiny-64B-random,16384,1048576,1802240
go,amberpack.encode_record,tiny-64B-text,16384,1048576,1801662
go,amberpack.encode_record,tiny-64B-duplicate,16384,1048576,1802240
go,amberpack.encode_record,4KiB-random,256,1048576,1060352
go,amberpack.encode_record,4KiB-text,256,1048576,308006
go,amberpack.encode_record,4KiB-duplicate,256,1048576,1060352
go,amberpack.encode_record,1MiB-random,1,1048576,1048622
go,amberpack.encode_record,1MiB-text,1,1048576,201318
go,amberpack.encode_record,1MiB-duplicate,2,2097152,2097244
go,amberpack.encode_record,large-8MiB-random,1,8388608,8388654
go,amberpack.encode_record,large-8MiB-text,1,8388608,1608658
go,amberpack.encode_record,large-8MiB-duplicate,2,16777216,16777308
go,amberpack.writer_add,mixed-objects,64,2170880,1288865
rust,amberpack.encode_record,empty,800,0,36800
rust,amberpack.encode_record,tiny-64B-random,16384,1048576,1802240
rust,amberpack.encode_record,tiny-64B-text,16384,1048576,1799494
rust,amberpack.encode_record,tiny-64B-duplicate,16384,1048576,1802240
rust,amberpack.encode_record,4KiB-random,256,1048576,1060352
rust,amberpack.encode_record,4KiB-text,256,1048576,309016
rust,amberpack.encode_record,4KiB-duplicate,256,1048576,1060352
rust,amberpack.encode_record,1MiB-random,1,1048576,1048622
rust,amberpack.encode_record,1MiB-text,1,1048576,200006
rust,amberpack.encode_record,1MiB-duplicate,2,2097152,2097244
rust,amberpack.encode_record,large-8MiB-random,1,8388608,8388654
rust,amberpack.encode_record,large-8MiB-text,1,8388608,1596908
rust,amberpack.encode_record,large-8MiB-duplicate,2,16777216,16777308
rust,amberpack.writer_add,mixed-objects,64,2170880,1286787
