group,op,workload,threads,n,go_ns_per_op_median,go_ns_per_op_mad,go_variation,rust_ns_per_op_median,rust_ns_per_op_mad,rust_variation,median_ratio_go_over_rust,ratio_ci_low,ratio_ci_high,mann_whitney_u,p_value,p_method,bytes_kind,go_bytes_per_s_median,rust_bytes_per_s_median,go_ops_per_s_median,rust_ops_per_s_median,go_cpu_ns_per_op_median,rust_cpu_ns_per_op_median,item_bytes,items,content,entries,depth,width,shape,files,objects,workers,sweep,series
amberignore,amberignore.descend,8-subdirs,1,1,5310.927734375,0.0,0.0,3280.759765625,0.0,0.0,1.6188103103499392,1.6188103103499392,1.6188103103499392,1.0,1.0,exact,,,,188291.01995259625,304807.44444556895,5255.859375,3273.4375,,,structured,512,1,,,,,1,,
amberignore,amberignore.ignored,mixed-names,1,1,205.8330078125,0.0,0.0,111.443359375,0.0,0.0,1.8469741846159238,1.8469741846159238,1.8469741846159238,1.0,1.0,exact,,,,4858307.278446481,8973168.124222295,209.9609375,112.3046875,,,structured,1024,,,,,,1,,
amberignore,amberignore.ignored,nil-matcher,1,1,5.439453125,0.0,0.0,0.2158203125,0.0,0.0,25.20361990950226,25.20361990950226,25.20361990950226,1.0,1.0,exact,,,,183842010.77199283,4633484162.895927,7.8125,0.9765625,,,structured,1024,,,,,,1,,
amberignore,amberignore.root,load-root,1,1,7585.109375,0.0,0.0,4452.578125,0.0,0.0,1.7035320127033144,1.7035320127033144,1.7035320127033144,1.0,1.0,exact,,,,131837.25514834782,224588.98461214534,7562.5,4406.25,,,structured,64,,,,,,1,,
amberpack,amberpack.decode_payload,mixed-records/producer-go,1,1,16107.96875,0.0,0.0,10312.828125,0.0,0.0,1.5619351505482402,1.5619351505482402,1.5619351505482402,1.0,1.0,exact,encoded,1250220678.8177435,1952763624.1877153,62081.074002580244,96966.6116684166,16171.875,10312.5,,64,structured,,,,,,64,1,,
amberpack,amberpack.decode_payload,mixed-records/producer-rust,1,1,14527.90625,0.0,0.0,9411.421875,0.0,0.0,1.5436462675837703,1.5436462675837703,1.5436462675837703,1.0,1.0,exact,encoded,1383960395.1877098,2136345298.515268,68833.04330243733,106253.87038023943,14593.75,9437.5,,64,structured,,,,,,64,1,,
amberpack,amberpack.encode_record,1MiB-duplicate,1,1,603873.5,0.0,0.0,285535.5,0.0,0.0,2.1148806365583264,2.1148806365583264,2.1148806365583264,1.0,1.0,exact,payload,1736416650.175906,3672313950.454497,1655.9759618529376,3502.1914963288277,602000.0,286500.0,1048576,2,duplicate,,,,,,,1,item_bytes,duplicate
amberpack,amberpack.encode_record,1MiB-random,1,1,517950.0,0.0,0.0,278252.0,0.0,0.0,1.8614421459684027,1.8614421459684027,1.8614421459684027,1.0,1.0,exact,payload,2024473404.7688,3768440119.028794,1930.6882903755188,3593.8645544326723,518000.0,265000.0,1048576,1,random,,,,,,,1,item_bytes,random
amberpack,amberpack.encode_record,1MiB-text,1,1,3911182.0,0.0,0.0,1803936.0,0.0,0.0,2.1681378940272826,2.1681378940272826,2.1681378940272826,1.0,1.0,exact,payload,268096958.92443767,581271175.9175491,255.67718403285758,554.3433913398258,3903000.0,1789000.0,1048576,1,text,,,,,,,1,item_bytes,text
amberpack,amberpack.encode_record,4KiB-duplicate,1,1,4002.375,0.0,0.0,4133.8359375,0.0,0.0,0.9681988014310255,0.9681988014310255,0.9681988014310255,0.0,1.0,exact,payload,1023392360.7857834,990847257.1064632,249851.65058246665,241906.06862950762,3996.09375,4128.90625,4096,256,duplicate,,,,,,,1,item_bytes,duplicate
amberpack,amberpack.encode_record,4KiB-random,1,1,9786.11328125,0.0,0.0,4129.6484375,0.0,0.0,2.369720674618564,2.369720674618564,2.369720674618564,1.0,1.0,exact,payload,418552277.32217807,991851984.9790483,102185.61458060988,242151.36352027545,13593.75,4125.0,4096,256,random,,,,,,,1,item_bytes,random
amberpack,amberpack.encode_record,4KiB-text,1,1,27117.38671875,0.0,0.0,13649.47265625,0.0,0.0,1.9866984902404368,1.9866984902404368,1.9866984902404368,1.0,1.0,exact,payload,151047003.25595418,300084853.32394654,36876.70977928569,73262.90364354163,28175.78125,13621.09375,4096,256,text,,,,,,,1,item_bytes,text
amberpack,amberpack.encode_record,empty,1,1,70.635,0.0,0.0,280.47375,0.0,0.0,0.2518417498963807,0.2518417498963807,0.2518417498963807,0.0,1.0,exact,payload,,,14157287.463721951,3565396.048649829,76.25,281.25,,800,empty,,,,,,,1,item_bytes,empty
amberpack,amberpack.encode_record,large-8MiB-duplicate,1,1,14041824.0,0.0,0.0,5106434.5,0.0,0.0,2.7498294553665574,2.7498294553665574,2.7498294553665574,1.0,1.0,exact,payload,597401591.1323202,1642752491.9785028,71.21581925539019,195.8313574765328,14470500.0,5081000.0,8388608,2,duplicate,,,,,,,1,item_bytes,duplicate
amberpack,amberpack.encode_record,large-8MiB-random,1,1,6098109.0,0.0,0.0,6229390.0,0.0,0.0,0.9789255448767857,0.9789255448767857,0.9789255448767857,0.0,1.0,exact,payload,1375608077.8483953,1346617887.144648,163.985261660623,160.52936162288762,7096000.0,6193000.0,8388608,1,random,,,,,,,1,item_bytes,random
amberpack,amberpack.encode_record,large-8MiB-text,1,1,26298307.0,0.0,0.0,14160049.0,0.0,0.0,1.8572186438055405,1.8572186438055405,1.8572186438055405,1.0,1.0,exact,payload,318979012.60335886,592413769.1896405,38.02526147405611,70.62122454519755,27180000.0,14090000.0,8388608,1,text,,,,,,,1,item_bytes,text
amberpack,amberpack.encode_record,tiny-64B-duplicate,1,1,503.26849365234375,0.0,0.0,597.295166015625,0.0,0.0,0.8425792175910201,0.8425792175910201,0.8425792175910201,0.0,1.0,exact,payload,127168699.82369886,107149703.59951948,1987010.9347452947,1674214.1187424918,566.7724609375,595.15380859375,64,16384,duplicate,,,,,,,1,item_bytes,duplicate
amberpack,amberpack.encode_record,tiny-64B-random,1,1,562.8525390625,0.0,0.0,628.5297241210938,0.0,0.0,0.8955066363004015,0.8955066363004015,0.8955066363004015,0.0,1.0,exact,payload,113706513.79951108,101824937.69804534,1776664.2781173605,1591014.6515319585,575.8056640625,626.3427734375,64,16384,random,,,,,,,1,item_bytes,random
amberpack,amberpack.encode_record,tiny-64B-text,1,1,1152.1398315429688,0.0,0.0,1172.2821044921875,0.0,0.0,0.9828178960746449,0.9828178960746449,0.9828178960746449,0.0,1.0,exact,payload,55548812.95466533,54594367.47754817,867950.2024166458,853036.9918366901,1148.62060546875,1167.90771484375,64,16384,text,,,,,,,1,item_bytes,text
amberpack,amberpack.parse_record,corrupt-crc/producer-go,1,1,159.6015625,0.0,0.0,105.16015625,0.0,0.0,1.5176999368522714,1.5176999368522714,1.5176999368522714,1.0,1.0,exact,,,,6265602.819521269,9509305.003528845,187.5,105.46875,,256,structured,,,,,,,1,,
amberpack,amberpack.parse_record,corrupt-crc/producer-rust,1,1,150.87109375,0.0,0.0,101.9140625,0.0,0.0,1.4803756228440015,1.4803756228440015,1.4803756228440015,1.0,1.0,exact,,,,6628174.921678793,9812188.577999234,171.875,101.5625,,256,structured,,,,,,,1,,
amberpack,amberpack.parse_record,mixed-records/producer-go,1,1,2208.75,0.0,0.0,2535.0,0.0,0.0,0.871301775147929,0.871301775147929,0.871301775147929,0.0,1.0,exact,encoded,9117607526.88172,7944187623.274161,452744.7651386531,394477.31755424064,2265.625,2546.875,,64,structured,,,,,,64,1,,
amberpack,amberpack.parse_record,mixed-records/producer-rust,1,1,2146.921875,0.0,0.0,2630.34375,0.0,0.0,0.8162134226752682,0.8162134226752682,0.8162134226752682,0.0,1.0,exact,encoded,9365057531.494946,7643885661.332288,465783.13428382203,380178.44625821244,2234.375,2593.75,,64,structured,,,,,,64,1,,
amberpack,amberpack.reader_all,mixed-objects/producer-go,1,1,17865.0625,0.0,0.0,15391.4375,0.0,0.0,1.1607143582267738,1.1607143582267738,1.1607143582267738,1.0,1.0,exact,encoded,1127256936.5486407,1308423311.6627345,55975.17500988312,64971.18933822783,17921.875,15171.875,,64,structured,,,,,,64,1,,
amberpack,amberpack.reader_all,mixed-objects/producer-rust,1,1,17033.625,0.0,0.0,13714.640625,0.0,0.0,1.2420030145704237,1.2420030145704237,1.2420030145704237,1.0,1.0,exact,encoded,1180373929.507078,1466027978.7681277,58707.40960893527,72914.77971191827,17000.0,13656.25,,64,structured,,,,,,64,1,,
amberpack,amberpack.reader_all,truncated-stream/producer-go,1,1,968749.5,0.0,0.0,426292.625,0.0,0.0,2.272498849821763,2.272498849821763,2.272498849821763,1.0,1.0,exact,,,,1032.25859729476,2345.806475070968,965078.125,424671.875,644432,64,structured,,,,,,,1,,
amberpack,amberpack.reader_all,truncated-stream/producer-rust,1,1,551543.125,0.0,0.0,402468.046875,0.0,0.0,1.3704022699006968,1.3704022699006968,1.3704022699006968,1.0,1.0,exact,,,,1813.0948509239417,2484.669299251435,549312.5,400796.875,643393,64,structured,,,,,,,1,,
amberpack,amberpack.reader_records,mixed-objects/producer-go,1,1,2595.28125,0.0,0.0,2849.984375,0.0,0.0,0.9106299924889939,0.9106299924889939,0.9106299924889939,0.0,1.0,exact,encoded,7759665980.324868,7066184573.380337,385314.6937350239,350879.1166618238,2609.375,2859.375,,64,structured,,,,,,64,1,,
amberpack,amberpack.reader_records,mixed-objects/producer-rust,1,1,1802.8125,0.0,0.0,2841.21875,0.0,0.0,0.6345208372287421,0.6345208372287421,0.6345208372287421,0.0,1.0,exact,encoded,11152600104.00416,7076557155.270076,554688.8542208355,351961.6361816562,1843.75,2843.75,,64,structured,,,,,,64,1,,
amberpack,amberpack.writer_add,mixed-objects,1,1,92971.5,0.0,0.0,40903.921875,0.0,0.0,2.272923860066902,2.272923860066902,2.272923860066902,1.0,1.0,exact,payload,364842989.51829326,829260336.0542674,10755.984360798739,24447.5334921659,107687.5,40796.875,,64,structured,,,,,,64,1,,
amberpack,amberpack.writer_add_record,pre-encoded-records/producer-go,1,1,147.46875,0.0,0.0,18.9375,0.0,0.0,7.787128712871287,7.787128712871287,7.787128712871287,1.0,1.0,exact,encoded,136561241788.51451,1063419966996.6997,6781097.690188599,52805280.52805281,203.125,15.625,,64,structured,,,,,,64,1,,
amberpack,amberpack.writer_add_record,pre-encoded-records/producer-rust,1,1,141.984375,0.0,0.0,13.453125,0.0,0.0,10.554006968641115,10.554006968641115,10.554006968641115,1.0,1.0,exact,encoded,141607461208.31958,1494526132404.1812,7043028.50225597,74332171.8931475,218.75,15.625,,64,structured,,,,,,64,1,,
cbor,cbor.decode_xattrs,xattrs-3,1,1,645.765625,0.0,0.0,195.6875,0.0,0.0,3.2999840306611308,3.2999840306611308,3.2999840306611308,1.0,1.0,exact,encoded,109947010.57368918,362823379.1121048,1548549.4446998476,5110188.438198659,468.75,203.125,71,64,structured,3,,,,,,1,,
cbor,cbor.decode_xattrs,xattrs-64,1,1,9378.703125,0.0,0.0,5599.453125,0.0,0.0,1.6749319827550124,1.6749319827550124,1.6749319827550124,1.0,1.0,exact,encoded,471067261.7649362,789005622.758919,106624.54996942874,178588.8688906562,9484.375,5609.375,4418,64,structured,64,,,,,,1,,
cbor,cbor.encode_xattrs,xattrs-3,1,1,486.234375,0.0,0.0,274.125,0.0,0.0,1.7737688098495212,1.7737688098495212,1.7737688098495212,1.0,1.0,exact,encoded,146020116.32764548,259005927.95257637,2056621.3567274013,3647970.81623347,531.25,281.25,71,64,structured,3,,,,,,1,,
cbor,cbor.encode_xattrs,xattrs-64,1,1,25733.6875,0.0,0.0,4672.515625,0.0,0.0,5.507458843436185,5.507458843436185,5.507458843436185,1.0,1.0,exact,encoded,171681574.97832364,945529208.3694209,38859.568804509654,214017.47586451357,26734.375,4687.5,4418,64,structured,64,,,,,,1,,
chunkers,chunkers.item_chunker,is_boundary/bits-7,1,1,78.55,0.0,0.0,30.71,0.0,0.0,2.5577987626180394,2.5577987626180394,2.5577987626180394,1.0,1.0,exact,,,,12730744.748567792,32562683.165092804,95.0,35.0,32,200,structured,,,,,,,1,,
