core,group,op,workload,threads,rep,ops,bytes,bytes_kind,wall_ns,ns_per_op,cpu_user_ns,cpu_sys_ns,max_rss_kib,checksum,item_bytes,items,content,entries,depth,width,shape,files,objects,workers,sweep,series
go,amberignore,amberignore.descend,8-subdirs,1,0,512,0,,2719195,5310.927734375,1763000,928000,637140,11838577130360562469,,,structured,512,1,,,,,1,,
go,amberignore,amberignore.ignored,mixed-names,1,0,1024,0,,210773,205.8330078125,163000,52000,637140,17033983874747237157,,,structured,1024,,,,,,1,,
go,amberignore,amberignore.ignored,nil-matcher,1,0,1024,0,,5570,5.439453125,6000,2000,637140,13389487554061181733,,,structured,1024,,,,,,1,,
go,amberignore,amberignore.root,load-root,1,0,64,0,,485447,7585.109375,484000,0,637140,3808676317670837029,,,structured,64,,,,,,1,,
go,amberpack,amberpack.decode_payload,mixed-records/producer-go,1,0,64,1288865,encoded,1030910,16107.96875,1028000,7000,637140,17407356770391273955,,64,structured,,,,,,64,1,,
go,amberpack,amberpack.decode_payload,mixed-records/producer-rust,1,0,64,1286787,encoded,929786,14527.90625,934000,0,637140,17407356770391273955,,64,structured,,,,,,64,1,,
go,amberpack,amberpack.encode_record,1MiB-duplicate,1,0,2,2097152,payload,1207747,603873.5,1204000,0,637140,3055170925167752709,1048576,2,duplicate,,,,,,,1,item_bytes,duplicate
go,amberpack,amberpack.encode_record,1MiB-random,1,0,1,1048576,payload,517950,517950.0,518000,0,637140,6342192483762135658,1048576,1,random,,,,,,,1,item_bytes,random
go,amberpack,amberpack.encode_record,1MiB-text,1,0,1,1048576,payload,3911182,3911182.0,3903000,0,637140,18165073756956660352,1048576,1,text,,,,,,,1,item_bytes,text
go,amberpack,amberpack.encode_record,4KiB-duplicate,1,0,256,1048576,payload,1024608,4002.375,1019000,4000,637140,6119980832428016421,4096,256,duplicate,,,,,,,1,item_bytes,duplicate
go,amberpack,amberpack.encode_record,4KiB-random,1,0,256,1048576,payload,2505245,9786.11328125,2593000,887000,637140,12565210988273004431,4096,256,random,,,,,,,1,item_bytes,random
go,amberpack,amberpack.encode_record,4KiB-text,1,0,256,1048576,payload,6942051,27117.38671875,6417000,796000,637140,11596150715995894676,4096,256,text,,,,,,,1,item_bytes,text
go,amberpack,amberpack.encode_record,empty,1,0,800,0,payload,56508,70.635,46000,15000,637140,11488096534593603877,,800,empty,,,,,,,1,item_bytes,empty
go,amberpack,amberpack.encode_record,large-8MiB-duplicate,1,0,2,16777216,payload,28083648,14041824.0,12069000,16872000,637140,11090642185545363909,8388608,2,duplicate,,,,,,,1,item_bytes,duplicate
go,amberpack,amberpack.encode_record,large-8MiB-random,1,0,1,8388608,payload,6098109,6098109.0,3824000,3272000,637140,16023285418421674942,8388608,1,random,,,,,,,1,item_bytes,random
go,amberpack,amberpack.encode_record,large-8MiB-text,1,0,1,8388608,payload,26298307,26298307.0,25426000,1754000,637140,3717030585049525887,8388608,1,text,,,,,,,1,item_bytes,text
go,amberpack,amberpack.encode_record,tiny-64B-duplicate,1,0,16384,1048576,payload,8245551,503.26849365234375,8223000,1063000,637140,15118262615421100837,64,16384,duplicate,,,,,,,1,item_bytes,duplicate
go,amberpack,amberpack.encode_record,tiny-64B-random,1,0,16384,1048576,payload,9221776,562.8525390625,9112000,322000,637140,13667126546932280967,64,16384,random,,,,,,,1,item_bytes,random
go,amberpack,amberpack.encode_record,tiny-64B-text,1,0,16384,1048576,payload,18876659,1152.1398315429688,18440000,379000,637140,15004358341227962651,64,16384,text,,,,,,,1,item_bytes,text
go,amberpack,amberpack.parse_record,corrupt-crc/producer-go,1,0,256,0,,40858,159.6015625,36000,12000,637140,17539378016686813989,,256,structured,,,,,,,1,,
go,amberpack,amberpack.parse_record,corrupt-crc/producer-rust,1,0,256,0,,38623,150.87109375,34000,10000,637140,17539378016686813989,,256,structured,,,,,,,1,,
go,amberpack,amberpack.parse_record,mixed-records/producer-go,1,0,64,1288865,encoded,141360,2208.75,110000,35000,637140,18178966418845869789,,64,structured,,,,,,64,1,,
go,amberpack,amberpack.parse_record,mixed-records/producer-rust,1,0,64,1286787,encoded,137403,2146.921875,108000,35000,637140,14053298517544710450,,64,structured,,,,,,64,1,,
go,amberpack,amberpack.reader_all,mixed-objects/producer-go,1,0,64,1288865,encoded,1143364,17865.0625,1116000,31000,637140,14268707933356208065,,64,structured,,,,,,64,1,,
go,amberpack,amberpack.reader_all,mixed-objects/producer-rust,1,0,64,1286787,encoded,1090152,17033.625,1088000,0,637140,14268707933356208065,,64,structured,,,,,,64,1,,
