op,dimension,series,value,workload,go_ns_per_op,rust_ns_per_op,ratio_go_over_rust,go_ns_per_unit,rust_ns_per_unit
amberpack.encode_record,item_bytes,duplicate,64,tiny-64B-duplicate,503.26849365234375,597.295166015625,0.8425792175910201,7.863570213317871,9.33273696899414
amberpack.encode_record,item_bytes,duplicate,4096,4KiB-duplicate,4002.375,4133.8359375,0.9681988014310255,0.977142333984375,1.009237289428711
amberpack.encode_record,item_bytes,duplicate,1048576,1MiB-duplicate,603873.5,285535.5,2.1148806365583264,0.5758986473083496,0.2723078727722168
amberpack.encode_record,item_bytes,duplicate,8388608,large-8MiB-duplicate,14041824.0,5106434.5,2.7498294553665574,1.6739158630371094,0.6087344288825989
amberpack.encode_record,item_bytes,random,64,tiny-64B-random,562.8525390625,628.5297241210938,0.8955066363004015,8.794570922851562,9.82077693939209
amberpack.encode_record,item_bytes,random,4096,4KiB-random,9786.11328125,4129.6484375,2.369720674618564,2.389187812805176,1.0082149505615234
amberpack.encode_record,item_bytes,random,1048576,1MiB-random,517950.0,278252.0,1.8614421459684027,0.4939556121826172,0.2653617858886719
amberpack.encode_record,item_bytes,random,8388608,large-8MiB-random,6098109.0,6229390.0,0.9789255448767857,0.7269512414932251,0.7426011562347412
amberpack.encode_record,item_bytes,text,64,tiny-64B-text,1152.1398315429688,1172.2821044921875,0.9828178960746449,18.002184867858887,18.31690788269043
amberpack.encode_record,item_bytes,text,4096,4KiB-text,27117.38671875,13649.47265625,1.9866984902404368,6.620455741882324,3.332390785217285
amberpack.encode_record,item_bytes,text,1048576,1MiB-text,3911182.0,1803936.0,2.1681378940272826,3.7299938201904297,1.720367431640625
amberpack.encode_record,item_bytes,text,8388608,large-8MiB-text,26298307.0,14160049.0,1.8572186438055405,3.1350024938583374,1.6880093812942505
fstree.check_complete,width,plain,16,width-16/jobs-1,1898.9411764705883,580.4705882352941,3.2713822456424806,2017.625,616.75
fstree.check_complete,width,plain,256,width-256/jobs-1,762.4980694980695,361.8494208494208,2.1072247889968954,771.43359375,366.08984375
fstree.check_complete,width,plain,4096,width-4096/jobs-1,662.8794274623968,314.82508491023776,2.1055483163020368,667.087158203125,316.823486328125
fstree.check_complete,width,plain,40000,width-40000/jobs-1,740.9867600665723,272.24972054549517,2.7217172476132894,745.7476,273.99892499999993
fstree.collect_entries,width,plain,16,width-16,679.4375,735.125,0.9242475769426968,679.4375,735.125
fstree.collect_entries,width,plain,256,width-256,392.078125,216.0390625,1.8148482985571186,392.078125,216.0390625
