core,group,op,workload,threads,n,ops_per_call,bytes_per_call,bytes_kind,ns_per_op_min,ns_per_op_p25,ns_per_op_median,ns_per_op_p75,ns_per_op_max,ns_per_op_mad,variation,cpu_ns_per_op_median,ops_per_s_median,bytes_per_s_median,entries_per_s_median,objects_per_s_median,max_rss_kib_max,item_bytes,items,content,entries,depth,width,shape,files,objects,workers,sweep,series
go,amberignore,amberignore.descend,8-subdirs,1,1,512,0,,5310.927734375,5310.927734375,5310.927734375,5310.927734375,5310.927734375,0.0,0.0,5255.859375,188291.01995259625,,,,637140.0,,,structured,512,1,,,,,1,,
go,amberignore,amberignore.ignored,mixed-names,1,1,1024,0,,205.8330078125,205.8330078125,205.8330078125,205.8330078125,205.8330078125,0.0,0.0,209.9609375,4858307.278446481,,,,637140.0,,,structured,1024,,,,,,1,,
go,amberignore,amberignore.ignored,nil-matcher,1,1,1024,0,,5.439453125,5.439453125,5.439453125,5.439453125,5.439453125,0.0,0.0,7.8125,183842010.77199283,,,,637140.0,,,structured,1024,,,,,,1,,
go,amberignore,amberignore.root,load-root,1,1,64,0,,7585.109375,7585.109375,7585.109375,7585.109375,7585.109375,0.0,0.0,7562.5,131837.25514834782,,,,637140.0,,,structured,64,,,,,,1,,
go,amberpack,amberpack.decode_payload,mixed-records/producer-go,1,1,64,1288865,encoded,16107.96875,16107.96875,16107.96875,16107.96875,16107.96875,0.0,0.0,16171.875,62081.074002580244,1250220678.8177435,,,637140.0,,64,structured,,,,,,64,1,,
go,amberpack,amberpack.decode_payload,mixed-records/producer-rust,1,1,64,1286787,encoded,14527.90625,14527.90625,14527.90625,14527.90625,14527.90625,0.0,0.0,14593.75,68833.04330243733,1383960395.1877098,,,637140.0,,64,structured,,,,,,64,1,,
go,amberpack,amberpack.encode_record,1MiB-duplicate,1,1,2,2097152,payload,603873.5,603873.5,603873.5,603873.5,603873.5,0.0,0.0,602000.0,1655.9759618529376,1736416650.175906,,,637140.0,1048576,2,duplicate,,,,,,,1,item_bytes,duplicate
go,amberpack,amberpack.encode_record,1MiB-random,1,1,1,1048576,payload,517950.0,517950.0,517950.0,517950.0,517950.0,0.0,0.0,518000.0,1930.6882903755188,2024473404.7688,,,637140.0,1048576,1,random,,,,,,,1,item_bytes,random
go,amberpack,amberpack.encode_record,1MiB-text,1,1,1,1048576,payload,3911182.0,3911182.0,3911182.0,3911182.0,3911182.0,0.0,0.0,3903000.0,255.67718403285758,268096958.92443767,,,637140.0,1048576,1,text,,,,,,,1,item_bytes,text
go,amberpack,amberpack.encode_record,4KiB-duplicate,1,1,256,1048576,payload,4002.375,4002.375,4002.375,4002.375,4002.375,0.0,0.0,3996.09375,249851.65058246665,1023392360.7857834,,,637140.0,4096,256,duplicate,,,,,,,1,item_bytes,duplicate
go,amberpack,amberpack.encode_record,4KiB-random,1,1,256,1048576,payload,9786.11328125,9786.11328125,9786.11328125,9786.11328125,9786.11328125,0.0,0.0,13593.75,102185.61458060988,418552277.32217807,,,637140.0,4096,256,random,,,,,,,1,item_bytes,random
go,amberpack,amberpack.encode_record,4KiB-text,1,1,256,1048576,payload,27117.38671875,27117.38671875,27117.38671875,27117.38671875,27117.38671875,0.0,0.0,28175.78125,36876.70977928569,151047003.25595418,,,637140.0,4096,256,text,,,,,,,1,item_bytes,text
go,amberpack,amberpack.encode_record,empty,1,1,800,0,payload,70.635,70.635,70.635,70.635,70.635,0.0,0.0,76.25,14157287.463721951,,,,637140.0,,800,empty,,,,,,,1,item_bytes,empty
go,amberpack,amberpack.encode_record,large-8MiB-duplicate,1,1,2,16777216,payload,14041824.0,14041824.0,14041824.0,14041824.0,14041824.0,0.0,0.0,14470500.0,71.21581925539019,597401591.1323202,,,637140.0,8388608,2,duplicate,,,,,,,1,item_bytes,duplicate
go,amberpack,amberpack.encode_record,large-8MiB-random,1,1,1,8388608,payload,6098109.0,6098109.0,6098109.0,6098109.0,6098109.0,0.0,0.0,7096000.0,163.985261660623,1375608077.8483953,,,637140.0,8388608,1,random,,,,,,,1,item_bytes,random
go,amberpack,amberpack.encode_record,large-8MiB-text,1,1,1,8388608,payload,26298307.0,26298307.0,26298307.0,26298307.0,26298307.0,0.0,0.0,27180000.0,38.02526147405611,318979012.60335886,,,637140.0,8388608,1,text,,,,,,,1,item_bytes,text
go,amberpack,amberpack.encode_record,tiny-64B-duplicate,1,1,16384,1048576,payload,503.26849365234375,503.26849365234375,503.26849365234375,503.26849365234375,503.26849365234375,0.0,0.0,566.7724609375,1987010.9347452947,127168699.82369886,,,637140.0,64,16384,duplicate,,,,,,,1,item_bytes,duplicate
go,amberpack,amberpack.encode_record,tiny-64B-random,1,1,16384,1048576,payload,562.8525390625,562.8525390625,562.8525390625,562.8525390625,562.8525390625,0.0,0.0,575.8056640625,1776664.2781173605,113706513.79951108,,,637140.0,64,16384,random,,,,,,,1,item_bytes,random
go,amberpack,amberpack.encode_record,tiny-64B-text,1,1,16384,1048576,payload,1152.1398315429688,1152.1398315429688,1152.1398315429688,1152.1398315429688,1152.1398315429688,0.0,0.0,1148.62060546875,867950.2024166458,55548812.95466533,,,637140.0,64,16384,text,,,,,,,1,item_bytes,text
go,amberpack,amberpack.parse_record,corrupt-crc/producer-go,1,1,256,0,,159.6015625,159.6015625,159.6015625,159.6015625,159.6015625,0.0,0.0,187.5,6265602.819521269,,,,637140.0,,256,structured,,,,,,,1,,
go,amberpack,amberpack.parse_record,corrupt-crc/producer-rust,1,1,256,0,,150.87109375,150.87109375,150.87109375,150.87109375,150.87109375,0.0,0.0,171.875,6628174.921678793,,,,637140.0,,256,structured,,,,,,,1,,
go,amberpack,amberpack.parse_record,mixed-records/producer-go,1,1,64,1288865,encoded,2208.75,2208.75,2208.75,2208.75,2208.75,0.0,0.0,2265.625,452744.7651386531,9117607526.88172,,,637140.0,,64,structured,,,,,,64,1,,
go,amberpack,amberpack.parse_record,mixed-records/producer-rust,1,1,64,1286787,encoded,2146.921875,2146.921875,2146.921875,2146.921875,2146.921875,0.0,0.0,2234.375,465783.13428382203,9365057531.494946,,,637140.0,,64,structured,,,,,,64,1,,
go,amberpack,amberpack.reader_all,mixed-objects/producer-go,1,1,64,1288865,encoded,17865.0625,17865.0625,17865.0625,17865.0625,17865.0625,0.0,0.0,17921.875,55975.17500988312,1127256936.5486407,,,637140.0,,64,structured,,,,,,64,1,,
go,amberpack,amberpack.reader_all,mixed-objects/producer-rust,1,1,64,1286787,encoded,17033.625,17033.625,17033.625,17033.625,17033.625,0.0,0.0,17000.0,58707.40960893527,1180373929.507078,,,637140.0,,64,structured,,,,,,64,1,,
go,amberpack,amberpack.reader_all,truncated-stream/producer-go,1,1,64,0,,968749.5,968749.5,968749.5,968749.5,968749.5,0.0,0.0,965078.125,1032.25859729476,,,,637140.0,644432,64,structured,,,,,,,1,,
go,amberpack,amberpack.reader_all,truncated-stream/producer-rust,1,1,64,0,,551543.125,551543.125,551543.125,551543.125,551543.125,0.0,0.0,549312.5,1813.0948509239417,,,,637140.0,643393,64,structured,,,,,,,1,,
go,amberpack,amberpack.reader_records,mixed-objects/producer-go,1,1,64,1288865,encoded,2595.28125,2595.28125,2595.28125,2595.28125,2595.28125,0.0,0.0,2609.375,385314.6937350239,7759665980.324868,,,637140.0,,64,structured,,,,,,64,1,,
go,amberpack,amberpack.reader_records,mixed-objects/producer-rust,1,1,64,1286787,encoded,1802.8125,1802.8125,1802.8125,1802.8125,1802.8125,0.0,0.0,1843.75,554688.8542208355,11152600104.00416,,,637140.0,,64,structured,,,,,,64,1,,
go,amberpack,amberpack.writer_add,mixed-objects,1,1,64,2170880,payload,92971.5,92971.5,92971.5,92971.5,92971.5,0.0,0.0,107687.5,10755.984360798739,364842989.51829326,,,637140.0,,64,structured,,,,,,64,1,,
go,amberpack,amberpack.writer_add_record,pre-encoded-records/producer-go,1,1,64,1288865,encoded,147.46875,147.46875,147.46875,147.46875,147.46875,0.0,0.0,203.125,6781097.690188599,136561241788.51451,,,637140.0,,64,structured,,,,,,64,1,,
go,amberpack,amberpack.writer_add_record,pre-encoded-records/producer-rust,1,1,64,1286787,encoded,141.984375,141.984375,141.984375,141.984375,141.984375,0.0,0.0,218.75,7043028.50225597,141607461208.31958,,,637140.0,,64,structured,,,,,,64,1,,
go,cbor,cbor.decode_xattrs,xattrs-3,1,1,64,4544,encoded,645.765625,645.765625,645.765625,645.765625,645.765625,0.0,0.0,468.75,1548549.4446998476,109947010.57368918,,,637140.0,71,64,structured,3,,,,,,1,,
go,cbor,cbor.decode_xattrs,xattrs-64,1,1,64,282752,encoded,9378.703125,9378.703125,9378.703125,9378.703125,9378.703125,0.0,0.0,9484.375,106624.54996942874,471067261.7649362,,,637140.0,4418,64,structured,64,,,,,,1,,
