core,id,group,op,passed,comparable,digest,detail
go,fixture/corpus-random,fixture,fixture.corpus,True,True,03040000000e6cae938e52b2ce9097072a5cf9de98288144af432ea7288fa3a3,
go,fixture/corpus-text,fixture,fixture.corpus,True,True,0304000000a947d6598a2541053fd85b9dc91851806b5de24872133ce828e807,
go,fixture/payloads-tiny,fixture,fixture.payloads,True,True,02120000e959937ab00f44c4b45eaf48aa83ab79449cc24378822f53b256251c,
go,fixture/payloads-small,fixture,fixture.payloads,True,True,02804000a76798f97ef1d6102446a1d1a40683fb8d6e36c1d93728453c861e32,
go,fixture/payloads-text,fixture,fixture.payloads,True,True,028040006c2d55f73f5ac710f789c4b239fe9fb422d1a94fcfc27a0772df4167,
go,fixture/payloads-large,fixture,fixture.payloads,True,True,02800040ed9c8a3418009628a16431fa3351a8169d12892b1fd13a62bd29c4cf,
go,fixture/payloads-rand,fixture,fixture.payloads,True,True,02800040570921baf9571e16c81ddb6535c9bedc125fa063343fa55c3e63c1d5,
go,fixture/keys,fixture,fixture.keys,True,True,02013880afc2f5e6a6b6935522b29e1d8fa0c5ab8b5c35f8b37b74bb8d3002a6,
go,fixture/entries-large,fixture,fixture.entries,True,True,0129825a59b34452ecc097ac3af7a0fdc230c2873f04c852a49c80875a9ba441,
go,fixture/tree-v1,fixture,fixture.tree,True,True,020a3e076b6f7062df9cd92640fcf0d9d95cdf42bcec5cd9bf23f4a012ab6240,
go,fixture/tree-v2,fixture,fixture.tree,True,True,020a41c8d10a909b8363fcee929f708d9388e4087d0472a54aed71cc78c0796b,
go,fixture/ignore-dir,fixture,fixture.tree,True,True,0103a4a1eb827e12da5a0aa080dffa1a30675d49e9c8184df79c50273cddb528,
go,fixture/wire-pack-bytes,fixture,fixture.pack,True,False,0299a94879d1288d832e162d013141fe28420bf4fc80c1be3f4a8fdd85b82c04,
go,fixture/wire-pack-contents,fixture,fixture.pack,True,True,03010327c084f7ef25774b62128ae76504fa85dd4e8195450e61508554e9c7ce,
go,fixture/store-keys,fixture,fixture.store,True,True,02124f80095516541d846171c7be89fc48bbb0beb0ca0ff936e7b40b3361fd60,
go,fixture/tar-archive,fixture,fixture.tar,True,True,0303d510001ec02a6c3a43704627cb99e9b20c2da7173774672e06b221322f1d,
go,fixture/wide-root,fixture,fixture.mem,True,True,3248d5ef6cf16d5f818e4dc3975cc148bd93f8d54e876f257441b4a8bb66e6b5,
go,fixture/deep-root,fixture,fixture.mem,True,True,2119118057f5a2af5e7b76b3ef720e5e0d1a4f4fa0e786e0a6886c7dac24abfb,
go,fixture/file-root,fixture,fixture.mem,True,True,13040000006b304d1832b5afb4cc45f3d81d9ffd5a3b2174d8d3e2af90dff9d6,
go,fixture/gc-live-root,fixture,fixture.gc,True,True,23034955bcb75807967df9c5b836d3c17c57e430e9869d5179abf3187570989c,
go,key/new-small,key,key.new,True,True,02014000670995a2cd466e9aa6d62d61d7f5582e60a7e1bd3283f869cc59b2a8,
go,key/new-from-hash,key,key.new_from_hash,True,True,00c8aad7ee4a343e6cc707784cb40155dd498bba44e9b91f108f2a7c43f1e3a3,
go,key/parse-roundtrip,key,key.parse,True,True,011000fa010be742b54157aabd0e89c2fbb478aa09bbe87d848997a7c53ff7f8,
go,key/accessors,key,key.accessors,True,True,Blob/4096/2,
go,key/parse-rejects,key,key.parse,True,True,0064b2e3179d37e41e665d8572218068c7a6cebda0413aa7939d2f5b0dbd01f7,
go,key/type-names,key,key.type_string,True,True,004a43e1f8ba69cdfea2b66a26aece05cb87e8cb509143289bb806b3e5ed5563,
go,cbor/roundtrip-xattrs-3,cbor,cbor.decode_xattrs,True,True,004730182534194c1d1215273f91f2e1f22836792b72db7d168d196b9e478a9f,
go,cbor/roundtrip-xattrs-64,cbor,cbor.decode_xattrs,True,True,0111424f62587c50a8e9d210927f4e1bae0b64b0d076305fb134243f217c7623,
go,cbor/canonical-stable,cbor,cbor.encode_xattrs,True,True,0111424f62587c50a8e9d210927f4e1bae0b64b0d076305fb134243f217c7623,
go,cbor/rejects-trailing,cbor,cbor.decode_xattrs,True,True,rejected,
go,chunkers/split-random,chunkers,chunkers.split_bytes,True,True,0304001b88c0d479e1fab80ac6c6e60d80f25eacc475fa16ba60b12069ea5467,
go,chunkers/split-bounds-random,chunkers,chunkers.split_bytes,True,True,n=881,
go,chunkers/split-compressible,chunkers,chunkers.split_bytes,True,True,03040002008c5aca2a6023d67a213bfff960be16be49c29ced4cc90e6f3b4acc,
go,chunkers/split-bounds-compressible,chunkers,chunkers.split_bytes,True,True,n=64,
go,chunkers/split-empty,chunkers,chunkers.split_bytes,True,True,0,
go,chunkers/split-propagates-error,chunkers,chunkers.split_bytes,True,True,propagated,
go,chunkers/item-bounds,chunkers,chunkers.new_item_chunker,True,True,32/512,
go,chunkers/item-boundaries,chunkers,chunkers.item_chunker,True,True,00b59eb126b4e8caf0a1de0fd49bdfccf92537a3e603036821106c2611482a89,
go,fstree/encode-file-node-8,fstree,fstree.encode_file_node,True,True,0101118de6e0374aca1717b58c8d8a6501b6a6d5c37deaa6d40b7dee7aad2860,
go,fstree/encode-file-node-1024,fstree,fstree.encode_file_node,True,True,018803c13d5d28f12088c746c16cb7415060af2ac826d1c44f92ec4b5aa723c5,
go,fstree/encode-dir-leaf-8,fstree,fstree.encode_dir_leaf,True,True,01025112355ffc73cdad2c7606274d23aeab9aa8ec98960b940d8c80b2d3d765,
go,fstree/encode-dir-leaf-128,fstree,fstree.encode_dir_leaf,True,True,0129825a59b34452ecc097ac3af7a0fdc230c2873f04c852a49c80875a9ba441,
go,fstree/encode-dir-node-8,fstree,fstree.encode_dir_node,True,True,01019187add02f7f0e8260ea03fabc49e9421dcf6664ae83f39d479c000e63b2,
go,fstree/encode-dir-node-128,fstree,fstree.encode_dir_node,True,True,01190242bd2c1d1cd9f0528168085acabd958c710324bff328a0190d072e00f8,
go,fstree/encode-xattr-set-64,fstree,fstree.encode_xattr_set,True,True,0111424f62587c50a8e9d210927f4e1bae0b64b0d076305fb134243f217c7623,
go,fstree/encode-blob,fstree,fstree.encode_blob,True,True,011000fa010be742b54157aabd0e89c2fbb478aa09bbe87d848997a7c53ff7f8,
go,fstree/decode-dir-leaf,fstree,fstree.decode_dir_leaf,True,True,0129825a59b34452ecc097ac3af7a0fdc230c2873f04c852a49c80875a9ba441,
go,fstree/decode-dir-node,fstree,fstree.decode_dir_node,True,True,01190242bd2c1d1cd9f0528168085acabd958c710324bff328a0190d072e00f8,
go,fstree/decode-file-node,fstree,fstree.decode_file_node,True,True,01a000fccaafe452c1359fe833c46ba53b23be11af1606d4dab962d43d961537,
go,fstree/decode-rejects-truncated,fstree,fstree.decode_dir_leaf,True,True,rejected,
go,fstree/child-keys-dir-leaf,fstree,fstree.child_keys,True,True,01140019daa10b7b810132483c70f0ddfb0f6af99dee0273e7d9580caf24f9ec,
go,fstree/child-keys-blob-is-leaf,fstree,fstree.child_keys,True,True,0,
go,fstree/dir-builder-root,fstree,fstree.dir_builder,True,True,3248d5ef6cf16d5f818e4dc3975cc148bd93f8d54e876f257441b4a8bb66e6b5,
go,fstree/file-index-root,fstree,fstree.index_builder_file,True,True,13040000006b304d1832b5afb4cc45f3d81d9ffd5a3b2174d8d3e2af90dff9d6,
go,fstree/lookup-hit,fstree,fstree.lookup_entry,True,True,000eb946dfa3a417f87d98113e22bd49a86d5a4dba2192f00a95c7e52ae868ac,
go,fstree/lookup-miss,fstree,fstree.lookup_entry,True,True,ErrNotFound,
go,fstree/collect-entries,fstree,fstree.collect_entries,True,True,020d6d804f34935cdb095129efc225efffcb3c37348a8203699e842a3d4a4cd2,
go,fstree/list-paging,fstree,fstree.list_entries,True,True,020d6d804f34935cdb095129efc225efffcb3c37348a8203699e842a3d4a4cd2,
go,fstree/resolve-path,fstree,fstree.resolve_path,True,True,21077126cf561c34deb0b8b364058f7ec26c0e1392e8c339808d388bc9b38910,
go,fstree/resolve-path-missing,fstree,fstree.resolve_path,True,True,ErrNotFound,
go,fstree/resolve-path-rejects-dotdot,fstree,fstree.resolve_path,True,True,rejected,
go,fstree/resolve-entry-root-is-nil,fstree,fstree.resolve_entry,True,True,nil,
go,fstree/write-content,fstree,fstree.write_content,True,True,0304000000a947d6598a2541053fd85b9dc91851806b5de24872133ce828e807,
go,fstree/reachable-root-first,fstree,fstree.reachable_keys,True,True,n=40257,
go,fstree/reachable-distinct,fstree,fstree.reachable_keys,True,True,n=40257,
go,fstree/check-complete,fstree,fstree.check_complete,True,True,n=40257,
go,fstree/check-complete-missing,fstree,fstree.check_complete,True,True,MissingObjectError,
go,amberignore/root-patterns,amberignore,amberignore.ignored,True,True,009594a89bfb81f1ba6f39b04dde1f24e77a27ff8cbd395e9ab7a92429d34ae3,
go,amberignore/descend-composes,amberignore,amberignore.descend,True,True,004d23b05ebef09affbd511362763a66ad6757d8d0f1d67e01b47ac13fb592e2,
go,amberignore/nil-matcher-ignores-nothing,amberignore,amberignore.ignored,True,True,false,
go,ingest/scan-filtered,ingest,ingest.scan,True,True,5323/54773504,
go,ingest/scan-unfiltered,ingest,ingest.scan,True,True,5451/54807232,
go,ingest/scan-v2-included,ingest,ingest.scan,True,True,5331/54870720,
go,ingest/scan-jobs-invariant,ingest,ingest.scan,True,True,5323/54773504,
go,ingest/objects-root,ingest,ingest.objects,True,True,23034955bcb75807967df9c5b836d3c17c57e430e9869d5179abf3187570989c,
go,ingest/objects-jobs-invariant,ingest,ingest.objects,True,True,23034955bcb75807967df9c5b836d3c17c57e430e9869d5179abf3187570989c,
go,ingest/objects-complete,ingest,ingest.objects,True,True,n=5617,
go,ingest/restored-tree-matches-source,ingest,ingest.objects,True,True,0209fffef7da732fefda533f9740b1d6dbcbbbcc15e8d6773f5a5c0f82dc75e3,
go,ingest/included-source-manifest,ingest,ingest.objects,True,True,0209fffef7da732fefda533f9740b1d6dbcbbbcc15e8d6773f5a5c0f82dc75e3,
go,ingest/objects-resolves-file,ingest,ingest.objects,True,True,ok,
go,ingest/objects-honours-ignore,ingest,ingest.objects,True,True,absent,
go,ingest/objects-honours-negation,ingest,ingest.objects,True,True,present,
go,ingest/dir-root,ingest,ingest.dir,True,True,23034955bcb75807967df9c5b836d3c17c57e430e9869d5179abf3187570989c,
go,ingest/dir-unchanged-repeat-stores-nothing,ingest,ingest.dir,True,True,stored=0 deduped=5736,
go,ingest/dir-incremental,ingest,ingest.dir,True,True,stored=65,
go,ingest/dir-v2-root,ingest,ingest.dir,True,True,23034ad15485bd9a072a006260879a899922f62ff3c9f032ac1799ff64b6bd02,
go,amberpack/wire-input-go,amberpack,amberpack.reader_all,True,True,9b79ead214d8233959487849689abacf67a163046dd8162a5b1933ea695a2c94,
go,amberpack/wire-input-rust,amberpack,amberpack.reader_all,True,True,eb95ff79d63a86adf3303d5678b9b5bc00a6d0334fc14490adc7728427706052,
go,amberpack/record-roundtrip,amberpack,amberpack.encode_record,True,True,0109a80060b3255da23de2d0655c20ff4367656ae717bfcea5fd232450cc68a2,
go,amberpack/record-bytes,amberpack,amberpack.encode_record,True,False,0299b8df5aae5c33e3c45d894e07a9f0b0b4b98f203be2fe401d8680446f0510,
go,amberpack/reads-go-pack,amberpack,amberpack.reader_all,True,True,03010327c084f7ef25774b62128ae76504fa85dd4e8195450e61508554e9c7ce,
go,amberpack/reads-rust-pack,amberpack,amberpack.reader_all,True,True,03010327c084f7ef25774b62128ae76504fa85dd4e8195450e61508554e9c7ce,
go,amberpack/compresses-only-when-smaller,amberpack,amberpack.encode_record,True,True,random-stored=true text-compressed=true,
go,amberpack/detects-crc-corruption,amberpack,amberpack.parse_record,True,True,ErrCorrupt,
go,amberpack/rejects-non-canonical-key,amberpack,amberpack.parse_record,True,True,ErrCorrupt,
go,amberpack/record-passthrough-go,amberpack,amberpack.writer_add_record,True,True,9b79ead214d8233959487849689abacf67a163046dd8162a5b1933ea695a2c94,
go,amberpack/record-passthrough-rust,amberpack,amberpack.writer_add_record,True,True,eb95ff79d63a86adf3303d5678b9b5bc00a6d0334fc14490adc7728427706052,
go,amberpack/rejects-truncated,amberpack,amberpack.reader_all,True,True,rejected,
go,amberpack/rejects-legacy-magic,amberpack,amberpack.reader_all,True,True,ErrMalformed,
go,amberpack/empty-pack,amberpack,amberpack.writer_add,True,True,9,
go,packstore/get-content-addressed,packstore,packstore.get,True,True,01480051d773bda0fefb3c1c8514a488f949e47d4c7d2b00efd6db2b503b0d18,
go,packstore/get-miss,packstore,packstore.get,True,True,ErrNotFound,
go,packstore/has,packstore,packstore.has,True,True,true/false,
go,packstore/get-record,packstore,packstore.get_record,True,True,0080baecb5f7594edfd4d9825c53e9a70532ff274e275b3ae0e69cdeef795822,
go,packstore/stored-size,packstore,packstore.stored_size,True,True,ok,
go,packstore/missing,packstore,packstore.missing,True,True,2,
go,packstore/sort-is-permutation,packstore,packstore.sort_by_location,True,True,n=1024,
go,packstore/scan-index-matches-footer,packstore,packstore.scan_index,True,False,4693,
go,packstore/record-by-location,packstore,packstore.record,True,False,n=4693,
go,packstore/has-outside-miss,packstore,packstore.has_outside,True,True,false,
go,packstore/verify-clean,packstore,packstore.verify,True,True,clean,
go,packstore/markset,packstore,packstore.mark_set_mark,True,True,ok,
go,packstore/liveness-accounts-all,packstore,packstore.liveness,True,True,30000,
go,packstore/compact-retains-live-content,packstore,packstore.compact,True,True,live=3000,
go,packstore/compact-drops-dead,packstore,packstore.compact,True,False,dropped=27000 survivors=0,
go,packstore/compact-reclaims,packstore,packstore.compact,True,False,compacted=7 dropped=27000,
go,packstore/verify-after-compact,packstore,packstore.verify,True,True,clean,
go,packstore/repairs-corruption,packstore,packstore.put_verified,True,True,0080baecb5f7594edfd4d9825c53e9a70532ff274e275b3ae0e69cdeef795822,
go,packstore/verify-detects-corruption,packstore,packstore.verify,True,True,ErrCorrupt,
go,packstore/wipe,packstore,packstore.wipe,True,True,empty+usable,
go,packstore/closed-store-errors,packstore,packstore.close,True,True,ErrClosed,
go,packstore/verify-rejects-mismatch,packstore,packstore.write_parallel,True,True,ErrVerify,
go,packstore/dedups-within-batch,packstore,packstore.write_parallel,True,True,stored=2 deduped=1,
go,packstore/write-batch-stores-all,packstore,packstore.write_batch,True,True,02451f809a0ed77d8c4ba91f26e2d77defab179f914dbf3c49d1f8566255fd4c,
go,packstore/segments-are-ordered-and-nonempty,packstore,packstore.segments,True,True,ordered,
go,packstore/segments-account-for-the-store,packstore,packstore.segments,True,False,segments=6 keys=28142,
go,packstore/oldest-inflight-idle-is-none,packstore,packstore.oldest_inflight_write,True,True,none,
go,packstore/remove-drops-only-that-segment,packstore,packstore.remove,True,False,gone=4693 kept=4690,
go,packstore/barrier-observed-keys-survive-compact,packstore,packstore.barrier,True,True,observed=32 protected=true,
go,packstore/barrier-abort-protects-nothing,packstore,packstore.barrier,True,True,observed=32 protected=false,
go,packstore/append-record-roundtrip,packstore,packstore.append_record,True,True,03010327c084f7ef25774b62128ae76504fa85dd4e8195450e61508554e9c7ce,
go,packstore/append-record-rejects-nil,packstore,packstore.append_record,True,True,ErrCorrupt,
go,packstore/append-record-scrubs-clean,packstore,packstore.append_record,True,True,clean,
go,reference/encode,reference,reference.encode,True,True,01013dc69a7477c7f67c0eed3e459a5eabd34b130d260443cd4741e253c630b7,
go,reference/roundtrip,reference,reference.decode,True,True,01013dc69a7477c7f67c0eed3e459a5eabd34b130d260443cd4741e253c630b7,
go,reference/signature-payload,reference,reference.signature_payload,True,True,00bad7d39b98eba3f37bc996adffa509a269c2497426af60b2e63fb1d38e32cf,
go,reference/signature-payload-excludes-sig,reference,reference.signature_payload,True,True,ok,
go,reference/rejects-trailing,reference,reference.decode,True,True,rejected,
go,reference/name-rules,reference,reference.validate_name,True,True,rejected,
go,reference/user-rules,reference,reference.validate_user,True,True,ok,
go,refstore/reopen-sees-committed-records,refstore,refstore.close,True,True,n=64,
go,refstore/get-verbatim,refstore,refstore.get,True,True,00533936668424c0ed794b660109835ee790cb0d8bcac68f9f4319c5de84baaa,
go,refstore/get-miss,refstore,refstore.get,True,True,ErrNotFound,
go,refstore/all-lexicographic,refstore,refstore.all,True,True,0201d4c020a3e0e7b19db26f0143b1a0c7291b406a50366bbf2e655722d6b041,
go,refstore/put-overwrites,refstore,refstore.put,True,True,0002b7d770040f780e9deff6bc038abea66e108b88d098d16d24cd7486eb6710,
go,refstore/delete,refstore,refstore.delete,True,True,ErrNotFound,
go,refstore/delete-absent,refstore,refstore.delete,True,True,ErrNotFound,
go,refstore/batch-last-wins,refstore,refstore.put_batch,True,True,second,
go,refstore/wipe,refstore,refstore.wipe,True,True,0,
go,inbox/stage-hashes-body,inbox,inbox.stage,True,True,ok,
go,inbox/stage-body-hash,inbox,inbox.stage,True,False,0028bd3e48857ed092022d8110b39e7f62f3651841ddebc7079ef0959102e4d2,
go,inbox/commit-adds,inbox,inbox.commit,True,True,true,
go,inbox/drain-stores-objects,inbox,inbox.drain,True,True,32,
go,inbox/commit-idempotent,inbox,inbox.commit,True,True,true/false,
