core,op,workload,rep,name,value
go,amberignore.descend,8-subdirs,0,go.heap_alloc_bytes,601224
go,amberignore.descend,8-subdirs,0,go.mallocs,8962
go,amberignore.descend,8-subdirs,1,go.heap_alloc_bytes,601528
go,amberignore.descend,8-subdirs,1,go.mallocs,8966
go,amberignore.descend,8-subdirs,2,go.heap_alloc_bytes,601464
go,amberignore.descend,8-subdirs,2,go.mallocs,8965
go,amberignore.descend,8-subdirs,3,go.heap_alloc_bytes,601464
go,amberignore.descend,8-subdirs,3,go.mallocs,8965
go,amberignore.ignored,mixed-names,0,go.heap_alloc_bytes,16384
go,amberignore.ignored,mixed-names,0,go.mallocs,1024
go,amberignore.ignored,mixed-names,1,go.heap_alloc_bytes,16384
go,amberignore.ignored,mixed-names,1,go.mallocs,1024
go,amberignore.ignored,mixed-names,2,go.heap_alloc_bytes,16384
go,amberignore.ignored,mixed-names,2,go.mallocs,1024
go,amberignore.ignored,mixed-names,3,go.heap_alloc_bytes,16384
go,amberignore.ignored,mixed-names,3,go.mallocs,1024
go,amberignore.ignored,nil-matcher,0,go.heap_alloc_bytes,0
go,amberignore.ignored,nil-matcher,0,go.mallocs,0
go,amberignore.ignored,nil-matcher,1,go.heap_alloc_bytes,0
go,amberignore.ignored,nil-matcher,1,go.mallocs,0
go,amberignore.ignored,nil-matcher,2,go.heap_alloc_bytes,0
go,amberignore.ignored,nil-matcher,2,go.mallocs,0
go,amberignore.ignored,nil-matcher,3,go.heap_alloc_bytes,0
go,amberignore.ignored,nil-matcher,3,go.mallocs,0
go,amberignore.root,load-root,0,go.heap_alloc_bytes,119808
go,amberignore.root,load-root,0,go.mallocs,1664
go,amberignore.root,load-root,1,go.heap_alloc_bytes,119808
go,amberignore.root,load-root,1,go.mallocs,1664
go,amberignore.root,load-root,2,go.heap_alloc_bytes,119808
go,amberignore.root,load-root,2,go.mallocs,1664
go,amberignore.root,load-root,3,go.heap_alloc_bytes,119808
go,amberignore.root,load-root,3,go.mallocs,1664
go,amberpack.decode_payload,mixed-records/producer-go,0,go.heap_alloc_bytes,16962504
go,amberpack.decode_payload,mixed-records/producer-go,0,go.mallocs,506
go,amberpack.decode_payload,mixed-records/producer-go,1,go.heap_alloc_bytes,16962504
go,amberpack.decode_payload,mixed-records/producer-go,1,go.mallocs,506
go,amberpack.decode_payload,mixed-records/producer-go,2,go.heap_alloc_bytes,16962504
go,amberpack.decode_payload,mixed-records/producer-go,2,go.mallocs,506
go,amberpack.decode_payload,mixed-records/producer-go,3,go.heap_alloc_bytes,16962504
go,amberpack.decode_payload,mixed-records/producer-go,3,go.mallocs,506
go,amberpack.decode_payload,mixed-records/producer-rust,0,go.heap_alloc_bytes,16966888
go,amberpack.decode_payload,mixed-records/producer-rust,0,go.mallocs,511
go,amberpack.decode_payload,mixed-records/producer-rust,1,go.heap_alloc_bytes,16964840
go,amberpack.decode_payload,mixed-records/producer-rust,1,go.mallocs,509
go,amberpack.decode_payload,mixed-records/producer-rust,2,go.heap_alloc_bytes,16966888
go,amberpack.decode_payload,mixed-records/producer-rust,2,go.mallocs,511
go,amberpack.decode_payload,mixed-records/producer-rust,3,go.heap_alloc_bytes,16966888
go,amberpack.decode_payload,mixed-records/producer-rust,3,go.mallocs,511
go,amberpack.encode_record,1MiB-duplicate,0,go.heap_alloc_bytes,13697024
go,amberpack.encode_record,1MiB-duplicate,0,go.mallocs,12
go,amberpack.encode_record,1MiB-duplicate,1,go.heap_alloc_bytes,13697024
go,amberpack.encode_record,1MiB-duplicate,1,go.mallocs,12
go,amberpack.encode_record,1MiB-duplicate,2,go.heap_alloc_bytes,13697024
go,amberpack.encode_record,1MiB-duplicate,2,go.mallocs,12
go,amberpack.encode_record,1MiB-duplicate,3,go.heap_alloc_bytes,13697024
go,amberpack.encode_record,1MiB-duplicate,3,go.mallocs,12
go,amberpack.encode_record,1MiB-random,0,go.heap_alloc_bytes,13697024
go,amberpack.encode_record,1MiB-random,0,go.mallocs,12
go,amberpack.encode_record,1MiB-random,1,go.heap_alloc_bytes,13697024
go,amberpack.encode_record,1MiB-random,1,go.mallocs,12
go,amberpack.encode_record,1MiB-random,2,go.heap_alloc_bytes,13697024
go,amberpack.encode_record,1MiB-random,2,go.mallocs,12
go,amberpack.encode_record,1MiB-random,3,go.heap_alloc_bytes,13697024
go,amberpack.encode_record,1MiB-random,3,go.mallocs,12
go,amberpack.encode_record,1MiB-text,0,go.heap_alloc_bytes,5013504
go,amberpack.encode_record,1MiB-text,0,go.mallocs,8
go,amberpack.encode_record,1MiB-text,1,go.heap_alloc_bytes,5013504
go,amberpack.encode_record,1MiB-text,1,go.mallocs,8
go,amberpack.encode_record,1MiB-text,2,go.heap_alloc_bytes,5013504
go,amberpack.encode_record,1MiB-text,2,go.mallocs,8
go,amberpack.encode_record,1MiB-text,3,go.heap_alloc_bytes,5013504
go,amberpack.encode_record,1MiB-text,3,go.mallocs,8
go,amberpack.encode_record,4KiB-duplicate,0,go.heap_alloc_bytes,14680064
go,amberpack.encode_record,4KiB-duplicate,0,go.mallocs,3072
go,amberpack.encode_record,4KiB-duplicate,1,go.heap_alloc_bytes,14680064
go,amberpack.encode_record,4KiB-duplicate,1,go.mallocs,3072
go,amberpack.encode_record,4KiB-duplicate,2,go.heap_alloc_bytes,14680064
go,amberpack.encode_record,4KiB-duplicate,2,go.mallocs,3072
go,amberpack.encode_record,4KiB-duplicate,3,go.heap_alloc_bytes,14680064
go,amberpack.encode_record,4KiB-duplicate,3,go.mallocs,3072
go,amberpack.encode_record,4KiB-random,0,go.heap_alloc_bytes,14680064
go,amberpack.encode_record,4KiB-random,0,go.mallocs,3072
go,amberpack.encode_record,4KiB-random,1,go.heap_alloc_bytes,14680064
go,amberpack.encode_record,4KiB-random,1,go.mallocs,3072
go,amberpack.encode_record,4KiB-random,2,go.heap_alloc_bytes,14680064
go,amberpack.encode_record,4KiB-random,2,go.mallocs,3072
go,amberpack.encode_record,4KiB-random,3,go.heap_alloc_bytes,14680064
go,amberpack.encode_record,4KiB-random,3,go.mallocs,3072
go,amberpack.encode_record,4KiB-text,0,go.heap_alloc_bytes,5505024
go,amberpack.encode_record,4KiB-text,0,go.mallocs,2048
go,amberpack.encode_record,4KiB-text,1,go.heap_alloc_bytes,5505024
go,amberpack.encode_record,4KiB-text,1,go.mallocs,2048
