core,op,workload,items,logical_bytes,encoded_bytes
go,amberpack.encode_record,empty,8000,0,368000
go,amberpack.encode_record,tiny-64B-random,16384,1048576,1802240
go,amberpack.encode_record,tiny-64B-text,16384,1048576,1801662
go,amberpack.encode_record,tiny-64B-duplicate,16384,1048576,1802240
go,amberpack.encode_record,4KiB-random,1024,4194304,4241408
go,amberpack.encode_record,4KiB-text,1024,4194304,1232857
go,amberpack.encode_record,4KiB-duplicate,1024,4194304,4241408
go,amberpack.encode_record,1MiB-random,4,4194304,4194488
go,amberpack.encode_record,1MiB-text,4,4194304,805158
go,amberpack.encode_record,1MiB-duplicate,4,4194304,4194488
go,amberpack.encode_record,large-8MiB-random,1,8388608,8388654
go,amberpack.encode_record,large-8MiB-text,1,8388608,1608658
go,amberpack.encode_record,large-8MiB-duplicate,2,16777216,16777308
go,amberpack.writer_add,mixed-objects,500,16960000,10070344
rust,amberpack.encode_record,empty,8000,0,368000
rust,amberpack.encode_record,tiny-64B-random,16384,1048576,1802240
rust,amberpack.encode_record,tiny-64B-text,16384,1048576,1799494
rust,amberpack.encode_record,tiny-64B-duplicate,16384,1048576,1802240
rust,amberpack.encode_record,4KiB-random,1024,4194304,4241408
rust,amberpack.encode_record,4KiB-text,1024,4194304,1236760
rust,amberpack.encode_record,4KiB-duplicate,1024,4194304,4241408
rust,amberpack.encode_record,1MiB-random,4,4194304,4194488
rust,amberpack.encode_record,1MiB-text,4,4194304,799158
rust,amberpack.encode_record,1MiB-duplicate,4,4194304,4194488
rust,amberpack.encode_record,large-8MiB-random,1,8388608,8388654
rust,amberpack.encode_record,large-8MiB-text,1,8388608,1596908
rust,amberpack.encode_record,large-8MiB-duplicate,2,16777216,16777308
rust,amberpack.writer_add,mixed-objects,500,16960000,10053753
