group,op,workload,threads,n,go_ns_per_op_median,go_ns_per_op_mad,go_variation,rust_ns_per_op_median,rust_ns_per_op_mad,rust_variation,median_ratio_go_over_rust,ratio_ci_low,ratio_ci_high,mann_whitney_u,p_value,p_method,bytes_kind,go_bytes_per_s_median,rust_bytes_per_s_median,go_ops_per_s_median,rust_ops_per_s_median,go_cpu_ns_per_op_median,rust_cpu_ns_per_op_median,item_bytes,items,content,entries,depth,width,shape,files,objects,workers,sweep,series
amberignore,amberignore.descend,8-subdirs,1,7,5091.091796875,79.798828125,0.015674207283785747,3155.873046875,14.326171875,0.004539527307407382,1.6132118501776511,1.5888666973365826,1.657824814958951,49.0,0.0005827505827505828,exact,,,,196421.52212101483,316869.5271155528,5167.96875,3146.484375,,,structured,512,1,,,,,1,,
amberignore,amberignore.ignored,mixed-names,1,7,210.822265625,4.2666015625,0.02023790774589822,118.517578125,2.974609375,0.025098465747103706,1.7788269804386876,1.7108987649869287,1.9483307680059445,49.0,0.0005827505827505828,exact,,,,4743332.00544742,8437566.94846822,214.84375,119.140625,,,structured,1024,,,,,,1,,
amberignore,amberignore.ignored,nil-matcher,1,7,5.078125,0.078125,0.015384615384615385,0.087890625,0.0,0.0,57.77777777777778,52.0,96.4,49.0,0.0018844465241654943,normal,,,,196923076.92307693,11377777777.777779,9.765625,0.0,,,structured,1024,,,,,,1,,
amberignore,amberignore.root,load-root,1,7,7317.265625,64.953125,0.008876693607798336,4281.921875,49.171875,0.01148359928916265,1.7088741547859279,1.697145711639575,1.7843163913499958,49.0,0.0005827505827505828,exact,,,,136663.07214315457,233539.99189908153,7375.0,4281.25,,,structured,64,,,,,,1,,
amberpack,amberpack.decode_payload,mixed-records/producer-go,1,7,15493.556,552.0159999999996,0.035628747848460325,10678.94,71.91799999999967,0.006734563542823507,1.4508514890054631,1.3999394280902975,1.5683617168509159,49.0,0.0005827505827505828,exact,encoded,1299939665.2388902,1886019398.9291072,64542.96224830504,93642.25288277675,17260.0,10656.0,,500,structured,,,,,,500,1,,
amberpack,amberpack.decode_payload,mixed-records/producer-rust,1,7,14521.782,231.86399999999958,0.015966635499692777,9769.742,32.402000000000044,0.0033165665991998603,1.4864038374810715,1.4073822957752844,1.5124481595553885,49.0,0.0005827505827505828,exact,encoded,1384644529.1631565,2058140941.6952875,68862.07216166721,102356.84831800062,16406.0,9724.0,,500,structured,,,,,,500,1,,
amberpack,amberpack.encode_record,1MiB-duplicate,1,7,439512.25,43370.25,0.09867813695750233,259698.75,1337.25,0.0051492354121843095,1.6923926279968617,1.4811937747822999,1.8682071196784973,49.0,0.0005827505827505828,exact,payload,2385771955.1616592,4037662868.9972515,2275.249438439998,3850.615376469852,440250.0,259250.0,1048576,4,duplicate,,,,,,,1,item_bytes,duplicate
amberpack,amberpack.encode_record,1MiB-random,1,7,384344.25,13996.75,0.0364172223208751,258148.25,157.75,0.000611082972671711,1.4888508831650031,1.4530346359153279,1.571418053305846,49.0,0.0005827505827505828,exact,payload,2728220859.2947598,4061914035.830187,2601.834162993202,3873.7430914213055,397750.0,257750.0,1048576,4,random,,,,,,,1,item_bytes,random
amberpack,amberpack.encode_record,1MiB-text,1,7,3175255.5,39623.25,0.012478759583283927,1778019.0,17536.0,0.00986266176008243,1.7858389027338852,1.7357058169415553,1.8153152034006117,49.0,0.0005827505827505828,exact,payload,330233582.77782685,589743979.113834,314.9352863100308,562.4236861360874,3424250.0,1773250.0,1048576,4,text,,,,,,,1,item_bytes,text
amberpack,amberpack.encode_record,4KiB-duplicate,1,7,3492.2373046875,174.494140625,0.049966289630656836,4399.33203125,48.53125,0.011031504250023751,0.793810805795269,0.7493892846723086,0.8981912290653983,0.0,0.0005827505827505828,exact,payload,1172887075.7156427,931050434.680691,286349.3837196393,227307.23502946558,3484.375,4381.8359375,4096,1024,duplicate,,,,,,,1,item_bytes,duplicate
