core,group,op,workload,threads,rep,ops,bytes,bytes_kind,wall_ns,ns_per_op,cpu_user_ns,cpu_sys_ns,max_rss_kib,checksum,item_bytes,items,content,entries,depth,width,shape,files,objects,workers,sweep,series
go,amberignore,amberignore.descend,8-subdirs,1,0,512,0,,2600077,5078.275390625,1527000,1072000,1813432,11838577130360562469,,,structured,512,1,,,,,1,,
go,amberignore,amberignore.descend,8-subdirs,1,1,512,0,,2947491,5756.818359375,2940000,0,1813432,11838577130360562469,,,structured,512,1,,,,,1,,
go,amberignore,amberignore.descend,8-subdirs,1,2,512,0,,2666714,5208.42578125,2702000,961000,1813432,11838577130360562469,,,structured,512,1,,,,,1,,
go,amberignore,amberignore.descend,8-subdirs,1,3,512,0,,2579908,5038.8828125,1499000,1081000,1813432,11838577130360562469,,,structured,512,1,,,,,1,,
go,amberignore,amberignore.ignored,mixed-names,1,0,1024,0,,208769,203.8759765625,184000,26000,1813432,17033983874747237157,,,structured,1024,,,,,,1,,
go,amberignore,amberignore.ignored,mixed-names,1,1,1024,0,,215882,210.822265625,191000,28000,1813432,17033983874747237157,,,structured,1024,,,,,,1,,
go,amberignore,amberignore.ignored,mixed-names,1,2,1024,0,,215361,210.3134765625,195000,28000,1813432,17033983874747237157,,,structured,1024,,,,,,1,,
go,amberignore,amberignore.ignored,mixed-names,1,3,1024,0,,220501,215.3330078125,220000,0,1813432,17033983874747237157,,,structured,1024,,,,,,1,,
go,amberignore,amberignore.ignored,nil-matcher,1,0,1024,0,,5160,5.0390625,7000,1000,1813432,13389487554061181733,,,structured,1024,,,,,,1,,
go,amberignore,amberignore.ignored,nil-matcher,1,1,1024,0,,7404,7.23046875,12000,2000,1813432,13389487554061181733,,,structured,1024,,,,,,1,,
go,amberignore,amberignore.ignored,nil-matcher,1,2,1024,0,,5120,5.0,7000,1000,1813432,13389487554061181733,,,structured,1024,,,,,,1,,
go,amberignore,amberignore.ignored,nil-matcher,1,3,1024,0,,5200,5.078125,7000,1000,1813432,13389487554061181733,,,structured,1024,,,,,,1,,
go,amberignore,amberignore.root,load-root,1,0,64,0,,475458,7429.03125,418000,61000,1813432,3808676317670837029,,,structured,64,,,,,,1,,
go,amberignore,amberignore.root,load-root,1,1,64,0,,466000,7281.25,409000,60000,1813432,3808676317670837029,,,structured,64,,,,,,1,,
go,amberignore,amberignore.root,load-root,1,2,64,0,,472462,7382.21875,0,476000,1813432,3808676317670837029,,,structured,64,,,,,,1,,
go,amberignore,amberignore.root,load-root,1,3,64,0,,465449,7272.640625,409000,60000,1813432,3808676317670837029,,,structured,64,,,,,,1,,
go,amberpack,amberpack.decode_payload,mixed-records/producer-go,1,0,500,10070344,encoded,7663219,15326.438,7425000,201000,1813432,4860269593321461802,,500,structured,,,,,,500,1,,
go,amberpack,amberpack.decode_payload,mixed-records/producer-go,1,1,500,10070344,encoded,8326906,16653.812,7664000,966000,1813432,4860269593321461802,,500,structured,,,,,,500,1,,
