op,dimension,series,value,workload,go_ns_per_op,rust_ns_per_op,ratio_go_over_rust,go_ns_per_unit,rust_ns_per_unit
amberpack.encode_record,item_bytes,duplicate,64,tiny-64B-duplicate,513.45703125,619.009033203125,0.8294822913860636,8.02276611328125,9.672016143798828
amberpack.encode_record,item_bytes,duplicate,4096,4KiB-duplicate,3492.2373046875,4399.33203125,0.793810805795269,0.8525969982147217,1.0740556716918945
amberpack.encode_record,item_bytes,duplicate,1048576,1MiB-duplicate,439512.25,259698.75,1.6923926279968617,0.41915154457092285,0.24766802787780762
amberpack.encode_record,item_bytes,duplicate,8388608,large-8MiB-duplicate,3810949.5,2071953.0,1.8393030633416878,0.45430058240890503,0.24699604511260986
amberpack.encode_record,item_bytes,random,64,tiny-64B-random,562.1578369140625,622.2683715820312,0.9034009481871206,8.783716201782227,9.722943305969238
amberpack.encode_record,item_bytes,random,4096,4KiB-random,3668.3359375,4500.4326171875,0.8151074017840733,0.8955898284912109,1.098738431930542
amberpack.encode_record,item_bytes,random,1048576,1MiB-random,384344.25,258148.25,1.4888508831650031,0.36653923988342285,0.24618935585021973
amberpack.encode_record,item_bytes,random,8388608,large-8MiB-random,3667516.0,2077288.0,1.7655308267317773,0.43720197677612305,0.24763202667236328
amberpack.encode_record,item_bytes,text,64,tiny-64B-text,1135.0582885742188,1160.9016723632812,0.9777385247999063,17.735285758972168,18.13908863067627
amberpack.encode_record,item_bytes,text,4096,4KiB-text,24286.892578125,14217.1884765625,1.70827675374514,5.929417133331299,3.4709932804107666
amberpack.encode_record,item_bytes,text,1048576,1MiB-text,3175255.5,1778019.0,1.7858389027338852,3.0281596183776855,1.6956510543823242
amberpack.encode_record,item_bytes,text,8388608,large-8MiB-text,25683472.0,14086068.0,1.8233244365993406,3.061708450317383,1.6791901588439941
fstree.check_complete,width,plain,16,width-16/jobs-1,1547.6470588235295,313.52941176470586,4.936210131332083,1644.375,333.125
fstree.check_complete,width,plain,256,width-256/jobs-1,751.5135135135135,268.42857142857144,2.7996778044675863,760.3203125,271.57421875
